description,artist,album,format,extra
$6 Tapes,?,?,Other,
Overstock Vinyl,?,?,Other,
Këkht Aräkh CDs & Tapes,?,?,Other,
$6 CDs,?,?,Other,
"Grimdor – There and Back Again 10""",Grimdor,There And Back Again,Vinyl,
"Weeping Coffin – F.B.I 10"" EP",Weeping Coffin,F.B.I.,Vinyl,
"Grimdor – There and Back Again 10""",Grimdor,There and Back Again,Vinyl,
Noenum – Fiery Path 10”,Noenum,Fiery Path,Vinyl,
"Weeping Coffin – F.B.I 10"" EP",Weeping Coffin,F.B.I.,Vinyl,
"Shades of Vrsaj'kett – Vengeful Spirit Black Metal 12"" EP",Shades of Vrsaj'kett,Vengeful Spirit,Vinyl,
"Satanic Ritual Glorification – Capra Cathedrali\xa012"" LP",Satanic Ritual Glorification,Capra Cathedrali,Vinyl,
Gärgäntuäh \u200e– Urmystyk\xa012,Gärgäntuäh,Urmystyk,Vinyl,
"Valac / Sulfurous Presence – Split 12"" LP",Valac / Sulfurous Presence,Split,Vinyl,
"Nidernes – Beyond the Gleam of Nightsky 12"" LP",Nidernes,Beyond the Gleam of Nightsky,Vinyl,
"Rhinocervs – 08 12"" LP",Rhinocervs,8,Vinyl,
"Nihil Invocation / Drug Darkness – Split 12"" LP",Nihil Invocation / Drug Darkness,Split,Vinyl,
"Celebratum – Kollektiv Sinnssykdom 12"" LP",Celebratum,Kollektiv Sinnssykdom,Vinyl,
"Ahkqueth – Ajaakonigadamang 12"" LP",Ahkqueth,Ajaakonigadamang,Vinyl,
"Old Nick – Witch Lymph / Flying Ointment 12"" LP",Old Nick,Witch Lymph / Flying Ointment,Vinyl,
"Girtablullû – Exorcism in Moonlight 12"" LP",Girtablullû,Exorcism in Moonlight,Vinyl,
"Karnilapakte – s/t 12"" LP",Karnilapakte,s/t,Vinyl,
"Grógaldr / Äkth Gánahëth – Split 12"" LP",Grógaldr / Äkth Gánahëth,Split,Vinyl,
"Trembling Void – The Burning Question 12"" LP",Trembling Void,The Burning Question,Vinyl,
"Vuajtje – Lost Under the Stygian Shade 12"" LP",Vuajtje,Lost Under the Stygian Shade,Vinyl,
"Warloghe – Three Angled Void 12"" LP",Warloghe,Three Angled Void,Vinyl,
"Vampiric Coffin – s/t 12"" LP",Vampiric Coffin,s/t,Vinyl,
"Cantique Lépreux – Sectes 12"" LP + CD",Cantique Lépreux,Sectes,Vinyl,
"Sequestered Keep – Land Beyond Dreams 12"" LP",Sequestered Keep,Land Beyond Dreams,Vinyl,
"Trembling Void / Nightgaunt – Terrifying Vistas of Reality 12"" LP",Trembling Void / Nightgaunt,Terrifying Vistas of Reality,Vinyl,
"Крюкокрест / Niteris – Split 12"" LP",Крюкокрест / Niteris,Split,Vinyl,
"Geheimnisvoll – The Endless Void of Eternal Suffering and Enslavement 12"" LP",Geheimnisvoll,The Endless Void of Eternal Suffering and Enslavement,Vinyl,
"Lost Horizons – Medieval Might & Destiny 12"" LP",Lost Horizons,Medieval Might & Destiny,Vinyl,
"Funeral Fullmoon / Nocturnal Prayer – Disciples of the Moonlight Worship 12""  LP",Funeral Fullmoon / Nocturnal Prayer,Disciples of the Moonlight Worship,Vinyl,
"Vampyric Blood – Watching the Nights Rot in Eternal Melancholy 12"" LP",Vampyric Blood,Watching The Nights Rot In Eternal Melancholy,Vinyl,
"Abigor ‎– Totschläger (A Saintslayer's Songbook) 12"" LP",Abigor,Totschläger (A Saintslayer's Songbook),Vinyl,
"Wulkanaz ‎– HaglaNaudizEisaz 12"" LP",Wulkanaz,HaglaNaudizEisaz,Vinyl,
"Sad – Enlightened by Darkness 12"" LP",SAD,Enlightened by Darkness,Vinyl,
"Mistmoor – Through Endless Forests 12"" LP",Mistmoor,Through Endless Forests,Vinyl,
"Elemental – Nightburn 12"" LP",Elemental,Nightburn,Vinyl,
"Brume d'Automne – La Grande Noirceur 12"" LP",Brume d'Automne,La Grande Noirceur,Vinyl,
"Forlorn Aspect – Benthic Orations 12"" LP",Forlorn Aspect,Benthic Orations,Vinyl,
"Drug Darkness / Vampirska – Split 12"" LP",Drug Darkness / Vampirska,Split,Vinyl,
"Felvum – Fullmoon Mysticism 12"" LP",Felvum,Fullmoon Mysticism,Vinyl,
"Valac – Leaning Toward Bitter Misery 12"" LP",Valac,Leaning Toward Bitter Misery,Vinyl,
"Moonshrine – Hallucinatory Forest Rituals 12"" LP",Moonshrine,Hallucinatory Forest Rituals,Vinyl,
"Occulto Lunae  – Antediluvian Conjuration of the Desolate Moon 12"" LP",Occulto Lunae,Antediluvian Conjuration of the Desolate Moon,Vinyl,
"Lycanthropy – ...As the Mourners Arise 12"" LP",Lycanthropy,...As the Mourners Arise,Vinyl,
"Thorns of Malice / Moraš – Quivering Silhouettes Beneath the Corrupting Gleam 12"" LP",Thorns of Malice / Moraš,Quivering Silhouettes Beneath the Corrupting Gleam,Vinyl,
"Thallid – s/t 12"" LP",Thallid,s/t,Vinyl,
"Vetëvrakh – Satanic Black Moloch 12"" LP",Vetëvrakh,Satanic Black Moloch,Vinyl,
"Voëmmr – Negras sessões no abismo sul 12"" LP",Voëmmr,Negras sessões no abismo sul,Vinyl,
"Rhinocervs – 16 12"" LP",Rhinocervs,16,Vinyl,
"Glemt / UVSS / Crucifixion Bell / Celestial Sword – Split 12"" LP",Glemt / UVSS / Crucifixion Bell / Celestial Sword,Split,Vinyl,
"Absolute Key – The Third Level of Decay 12"" LP",Absolute Key,The Third Level of Decay,Vinyl,
"Eosphoros – II 12"" LP",Eosphoros,II,Vinyl,
"Megalith Grave / Nihil Invocation – Malicious Curses Reached in Drowning Night 12"" LP",Megalith Grave / Nihil Invocation,Malicious Curses Reached in Drowning Night,Vinyl,
"Brume D'Automne – Brume D'Automne 12"" LP",Brume D'Automne,Brume D'Automne,Vinyl,
"Solus Grief – With a Last Exhale 12"" LP",Solus Grief,With a Last Exhale,Vinyl,
"Vrkolak – Carpathian Tyranny Returns 12"" LP",Vrkolak,Carpathian Tyranny Returns,Vinyl,
"Warped Skull – A Feverish Recollection of Battle 12"" LP",Warped Skull,A Feverish Recollection of Battle,Vinyl,
"Golden Talon – Demo I 12"" LP",Golden Talon,Demo I,Vinyl,
"Khaos Aura – Born of this Fire 12"" LP",Khaos Aura,Born of this Fire,Vinyl,
"Valac – Howls of Infinite Horror 12"" LP",Valac,Howls of Infinite Horror,Vinyl,
"Rotten Moon – No Dawn in This World of Infernal Eclipses 12"" LP",Rotten Moon,No Dawn in This World of Infernal Eclipses,Vinyl,
"Stabat Mater – Treason by Son of Man 12"" LP",Stabat Mater,Treason by Son of Man,Vinyl,
"Dmigor – Poison Emerald Blood Crown 12"" LP",Dmigor,Poison Emerald Blood Crown,Vinyl,
"Sovereign – Dimension of Torment 12"" LP",Sovereign,Dimension of Torment,Vinyl,
"Ulfarr – The Ruins of Human Failure 12"" LP",Ulfarr,The Ruins of Human Failure,Vinyl,
"Pénombre ‎– Méphistophélès (Ou le diable sur terre) 12"" LP",Pénombre,Méphistophélès (ou le diable sur terre),Vinyl,
"Trhä / Μνήμα – Split 12"" LP",Trhä / Μνήμα,Split,Vinyl,
"Inquisition – Incense of Rest 12"" LP",Inquisition,Incense of Rest,Vinyl,
"Mons Veneris / Broken Spirit – Voices: Herald to the Master 12"" LP (Gold Vinyl)",Mons Veneris / Broken Spirit,Voices: Herald to the Master,Vinyl,
"Majesty of the Crimson Moon – The Whispering of the Fullmoon 12"" LP",Majesty of the Crimson Moon,The Whispering of the Fullmoon,Vinyl,
"Ildganger – For Hver Tanke Mister Sjælen Atter Farve 12"" LP",Ildganger,For Hver Tanke Mister Sjælen Atter Farve,Vinyl,
"Circle of Ouroborus – Lumi Vaientaa Kysymykse 12"" LP",Circle Of Ouroborus,Lumi Vaientaa Kysymykse,Vinyl,
"Wagner Ödegård – Om Twenne Kosmos 12"" LP",Wagner Ödegård,Om Twenne Kosmos,Vinyl,
"Dark Storm – Early Years – 12” LP + 7""",Dark Storm,Early Years,Vinyl,
Ossaert – Offerdier 12”,Ossaert,Offerdier,Vinyl,
"Void Prayer ‎– Relics of the Storm 12"" MLP",Void Prayer,Relics of the Storm,Vinyl,
"Werewolf Bloodorder – Rites of Murder and Sacrifice 12"" MLP",Werewolf Bloodorder,Rites of Murder and Sacrifice,Vinyl,
Primeval Well – S/T 2xLP,Primeval Well,S/T,Vinyl,
Black Draugwath – The Draugwath Legacy 2xLP,Black Draugwath,The Draugwath Legacy,Vinyl,
La Garde Noire 2xLP,?,?,Vinyl,
Black Imperial Blood / Grundhyrde\xa0– Split 7’’ EP,Black Imperial Blood / Grundhyrde,Split,Vinyl,
"Weltentod – Schändung Des Heiligen Geistes 7"" EP",Weltentod,Schändung Des Heiligen Geistes,Vinyl,
"The True Werwolf / As Sahar – Split 7"" EP",The True Werwolf / As Sahar,Split,Vinyl,
Nächtlich / Grundhyrde ‎– Split CD,Nächtlich / Grundhyrde,Split,CD,
Revenant Marquis ‎– Below the Landsker Line CD,Revenant Marquis,Below the Landsker Line,CD,
Drowning the Light – Violet Mercury & Moonlit Sorcery CD,Drowning The Light,Violet Mercury & Moonlit Sorcery,CD,
Drowning the Light – Catacombs of Blood CD,Drowning The Light,Catacombs of Blood,CD,
Sëht – Kenvassã Ejarmä Enva Valarãã CD,Sëht,Kenvassã Ejarmä Enva Valarãã,CD,
ldganger – Wanderer of Fiery Planes CD,ldganger,Wanderer of Fiery Planes,CD,
Wampyric Rites – The Rites of the Vampire Inscriptions CD,Wampyric Rites,The Rites of the Vampire Inscriptions,CD,
Drowning the Light – Through the Noose of Existence CD,Drowning The Light,Through the Noose of Existence,CD,
Vindalf – Under the Banner of the Wolf CD,Vindalf,Under the Banner of the Wolf,CD,
Trijumf – Trijumf Ili Smrt Trijumf CD,Trijumf,Trijumf Ili Smrt Trijumf,CD,
Ancestral Shadows – Eldritch Illumination CD,Ancestral Shadows,Eldritch Illumination,CD,
Drowning the Light – Lurker of the Void CD,Drowning The Light,Lurker of the Void,CD,
Black Cilice – Mysteries CD,Black Cilice,Mysteries,CD,
Drowning the Light – Oceans of Eternity CD,Drowning The Light,Oceans of Eternity,CD,
Emaciated by Christ – Fanisk CD,Emaciated by Christ,Fanisk,CD,
Wampyric Rites / Moloch – Split CD,Wampyric Rites / Moloch,Split,CD,
Deathcircle – Feast Upon the World of Illusions CD,Deathcircle,Feast Upon the World of Illusions,CD,
Drowning the Light – A World Long Dead CD,Drowning The Light,A World Long Dead,CD,
Mantiel – Vestiges Engraved in Frozen Mysticism CD,Mantiel,Vestiges Engraved in Frozen Mysticism,CD,
Moongate / Todlicht – Split Tape,Moongate / Todlicht,Split,Cassette,
Altertum – Thunder From the Great Halls Tape,Altertum,Thunder From the Great Halls,Cassette,
Wampyric Rites / Moloch – Split Tape,Wampyric Rites / Moloch,Split,Cassette,
Ride for Revenge – Wisdom of the Few Tape,Ride For Revenge,Wisdom of the Few,Cassette,
Lunar Spells – Demise of Heaven Tape,Lunar Spells,Demise of Heaven,Cassette,
Dödsrit – Nocturnal Will Tape,Dödsrit,Nocturnal Will,Cassette,
Erstwhile / Mystic Veil – Triumph in the Fading Light Tape,Erstwhile / Mystic Veil,Triumph in the Fading Light,Cassette,
Midnight Betrothed – Death...My Faithful Bride Tape,Midnight Betrothed,Death...My Faithful Bride,Cassette,
Ghemhamforash – Bloodletting Tape,Ghemhamforash,Bloodletting,Cassette,
Blastbeats Vinyl - The Black Tote Bag,?,?,Other,
Discord Secret Bundle #1,?,?,Other,
Blastbeats Vinyl Gift Card,?,?,Other,
Draft product for testing,?,?,Other,
Drain LP,?,?,Other,
"Bathory ""Blood Fire Death"" Vinyl LP (Official Pressing)",Bathory,Blood Fire Death,Vinyl,
"Bathory ""Blood Fire Death"" Picture LP (Official Pressing)",Bathory,Blood Fire Death,Vinyl,
INANIMATE EXISTENCE - The Masquerade Limited Colored Vinyl (2 variants),Inanimate Existence,The Masquerade,Vinyl,
Harms Way - Common Suffering - *numbered /300* Crystal Clear/Black Dust Vinyl,Harms Way,Common Suffering,Vinyl,*numbered /300* Crystal Clear/Black Dust Vinyl
Malist - To Mantle the Rising Sun - LTD 199 Transparent Orange Vinyl LP,Malist,To Mantle the Rising Sun,Vinyl,LTD 199 Transparent Orange Vinyl LP
[NESI] Zuriaake - Autumn Of Sad Ode/Ghost Ritual - ltd 100 Black Splatter LP - Asian Market Exclusive,Zuriaake,Autumn Of Sad Ode/Ghost Ritual,Vinyl,ltd 100 Black Splatter LP - Asian Market Exclusive
Cattle Decapitation - Karma.Bloody.Karma - LP Gatefold Colored,Cattle Decapitation,Karma.Bloody.Karma,Vinyl,LP Gatefold Colored
Naglfar - Vittra (Re-issue 2023) - EU Exclusive Ltd. 500 transp. green LP & LP-Booklet - BBV Import,Naglfar,Vittra,Vinyl,EU Exclusive Ltd. 500 transp. green LP & LP-Booklet - BBV Import
Nightbringer - DEATH AND THE BLACK WORK + REX EX ORDINE THRONI - 3xLP LTD Galaxy Vinyl,Nightbringer,Death and the Black Work + Rex Ex Ordine Throni,Vinyl,3xLP LTD Galaxy Vinyl
Septicflesh - Mystic Places of Dawn - DOUBLE LP Gatefold - Limited to 250,Septicflesh,Mystic Places of Dawn,Vinyl,DOUBLE LP Gatefold - Limited to 250
"CARCASS - HEARTWORK - ULTIMATE EDITION:  2X12"" RED, FDR VINYL LP",Carcass,Heartwork,Vinyl,"ULTIMATE EDITION:  2X12"" RED, FDR VINYL LP"
"Gaerea - Mirage - DOUBLE LP GATEFOLD - Clear, Limited to 300!",Gaerea,Mirage,Vinyl,"DOUBLE LP GATEFOLD - Clear, Limited to 300!"
"DEMON KING - The Final Tyranny 12"" [Chaos Variant]",Demon King,The Final Tyranny,Vinyl,
Depressive Silence - V : Medieval Demons MMXIX - Grey/Black Swirl Vinyl LP,Depressive Silence,V : Medieval Demons MMXIX,Vinyl,Grey/Black Swirl Vinyl LP
Hamferð - Men Guðs hond er sterk - NUMBERED LTD 300 Sand Marbled Vinyl LP,Hamferð,Men Guðs hond er sterk,Vinyl,NUMBERED LTD 300 Sand Marbled Vinyl LP
[NESI Rarity] Rings Of Saturn - Ultu Ulla - Black Vinyl with Purple+Yellow Splatter LTD 100 - Asian Market Exclusive,Rings Of Saturn,Ultu Ulla,Vinyl,Black Vinyl with Purple+Yellow Splatter LTD 100 - Asian Market Exclusive
"UADA - Crepuscule Natura, LP (Bone Splatter) - LTD to 500",UADA,Crepuscule Natura,Vinyl,LTD to 500
"Chapel Of Disease – Echoes Of Light - ""Lavish Edition"" Vinyl LP",Chapel Of Disease,Echoes Of Light,Vinyl,"""Lavish Edition"" Vinyl LP"
Inquisition - Veneration of Medieval Mysticism and Cosmological Violence - Orange/Black Galaxy Vinyl LP,Inquisition,Veneration of Medieval Mysticism and Cosmological Violence,Vinyl,Orange/Black Galaxy Vinyl LP
Cannibal Corpse ‎- The Bleeding - Limited Splatter Vinyl LP (Import),Cannibal Corpse,The Bleeding,Vinyl,Limited Splatter Vinyl LP (Import)
hanging moss - Autumn Journeys & Reflections - Vinyl LP (Faidh x BBV),hanging moss,Autumn Journeys & Reflections,Vinyl,Vinyl LP (Faidh x BBV)
On Thorns I Lay - On Thorns I Lay - Limited Gold Vinyl LP,On Thorns I Lay,On Thorns I Lay,Vinyl,Limited Gold Vinyl LP
Enisum - Seasons Of Desolation - 2LP LTD 139 Clear/Black Splatter Vinyl DLP,ENISUM,Seasons of Desolation,Vinyl,2LP LTD 139 Clear/Black Splatter Vinyl DLP
Vomitory Revelation Nausea - Orange-Brown / Black Marbled Vinyl (LTD to 200),Vomitory,Revelation Nausea,Vinyl,
UADA - Devoid of Light -  180g Silver LP Vinyl,UADA,Devoid of Light,Vinyl,180g Silver LP Vinyl
[NESI] Unanimated – In The Light Of Darkness - Ltd 180 Japan Version Black + Purple Splatter - Asian Market Exclusive,Unanimated,In The Light of Darkness,Vinyl,Ltd 180 Japan Version Black + Purple Splatter - Asian Market Exclusive
Gosudar – Morbid Despotic Ritual LP (2 Variants Available),Gosudar,Morbid Despotic Ritual,Vinyl,
WARBRINGER -  WORLDS TORN ASUNDER  - LTD BLUE VINYL LP,WARBRINGER,WORLDS TORN ASUNDER,Vinyl,LTD BLUE VINYL LP
Axioma - Sepsis- Custom Color in Color with Splatter,Axioma,Sepsis,Vinyl,Custom Color in Color with Splatter
[NESI] Sigh - Hangman's Hymn - Musikalische Exequien 3LP - Asian Market Exclusive,Sigh,Hangman's Hymn,Vinyl,Musikalische Exequien 3LP - Asian Market Exclusive
[NESI-Rarity] Cannibal Corpse ‎– Gallery Of Suicide - LTD 100 Splatter Vinyl - Asian Market Exclusive,Cannibal Corpse,Gallery Of Suicide,Vinyl,LTD 100 Splatter Vinyl - Asian Market Exclusive
MARDUK  - Nightwing - Donation Edition Limited /300 Color Vinyl LP,Marduk,Nightwing,Vinyl,Donation Edition Limited /300 Color Vinyl LP
Moonspell - Irreligious - Limited White Vinyl LP,Moonspell,Irreligious,Vinyl,Limited White Vinyl LP
Moonlight Sorcery - Horned Lord of the Thorned Castle - Coke Bottle Green Vinyl LP,Moonlight Sorcery,Horned Lord of the Thorned Castle,Vinyl,Coke Bottle Green Vinyl LP
MARDUK  - Serpent Sermon - Limited /300 Splatter Vinyl LP + Booklet,Marduk,Serpent Sermon,Vinyl,Limited /300 Splatter Vinyl LP + Booklet
200 Stab Wounds - Manual Manic Procedures - *NUMBERED* Seaweed LTD 300 Vinyl LP (EU Import),200 Stab Wounds,Manual Manic Procedures,Vinyl,*NUMBERED* Seaweed LTD 300 Vinyl LP (EU Import)
Pestilence - Consuming Impulse - Red LP with fat black splatter,Pestilence,Consuming Impulse,Vinyl,Red LP with fat black splatter
Asinhell - Impii Hora - Crimson Red Marbled Vinyl - EU Import Variant,Asinhell,Impii Hora,Vinyl,Crimson Red Marbled Vinyl - EU Import Variant
MORBID ANGEL - GATEWAYS TO ANNIHILATION - FDR RED/BLACK MARBLE VINYL LP,Morbid Angel,Gateways To Annihilation,Vinyl,FDR RED/BLACK MARBLE VINYL LP
Cân Bardd - The Last Rain - 2LP Green/Black Swirl Vinyl DLP,Cân Bardd,The Last Rain,Vinyl,2LP Green/Black Swirl Vinyl DLP
UNDERGANG – Til Døden Os Skiller- Slime Green Vinyl LP,Undergang,Til Døden Os Skiller,Vinyl,Slime Green Vinyl LP
Mastodon - Leviathan - Gold Nugget Vinyl LP,Mastodon,Leviathan,Vinyl,Gold Nugget Vinyl LP
CHILDREN OF BODOM - HEXED - (180 GRAM INDIE EXCLUSIVE VINYL LP),CHILDREN OF BODOM,HEXED,Vinyl,(180 GRAM INDIE EXCLUSIVE VINYL LP)
KRISIUN - Apocalyptic Revelations - LIMITED EDITION TRANSPARENT RED VINYL,Krisiun,Apocalyptic Revelations,Vinyl,LIMITED EDITION TRANSPARENT RED VINYL
SUFFOCATION - Pierced from Within - LTD Splatter Vinyl LP,Suffocation,Pierced from Within,Vinyl,LTD Splatter Vinyl LP
Cannibal Corpse ‎- Gallery of Suicide - Bone/Red Splatter Vinyl LP - Import,Cannibal Corpse,Gallery Of Suicide,Vinyl,Bone/Red Splatter Vinyl LP - Import
Dying Fetus - Reign Supreme - Pool of Blood edition Color Vinyl LP,Dying Fetus,Reign Supreme,Vinyl,Pool of Blood edition Color Vinyl LP
Hour Of 13 - s/t (Hour of 13) - Limited Purple Vinyl LP,Hour Of 13,s/t,Vinyl,Limited Purple Vinyl LP
[NESI] Cannibal Corpse ‎- Butchered At Birth - Swirl Vinyl- Asian Market Exclusive,Cannibal Corpse,Butchered At Birth,Vinyl,Swirl Vinyl- Asian Market Exclusive
Bilwis - Hameln - Blue/Grey Galaxy Vinyl LP,BILWIS,Hameln,Vinyl,Blue/Grey Galaxy Vinyl LP
Wolvennest - The Dark Path To The Light -  Limited Smoke Vinyl LP in Gatefold [BBV Import],Wolvennest,The Dark Path To The Light,Vinyl,Limited Smoke Vinyl LP in Gatefold [BBV Import]
VICIOUS RUMORS - Soldiers Of The Night - LTD 200 Transparent Orange Vinyl LP,Vicious Rumors,Soldiers Of The Night,Vinyl,LTD 200 Transparent Orange Vinyl LP
Periphery - Icarus - Tan w/ Cobalt Splatter Indie Exclusive Vinyl LP,Periphery,Icarus,Vinyl,Tan w/ Cobalt Splatter Indie Exclusive Vinyl LP
"[NESI] Despised Icon - Consumed By Your Poison Splatter Vinyl, Ltd 200 - Asian Market Exclusive",Despised Icon,Consumed By Your Poison,Vinyl,Asian Market Exclusive
"ORBIT CULTURE - DESCENT -  Revolver Exclusive 2LP LTD 500, Red w/ Black Blob Vinyl",ORBIT CULTURE,DESCENT,Vinyl,"Revolver Exclusive 2LP LTD 500, Red w/ Black Blob Vinyl"
OPPRESSOR - Agony -  Transparent Black/White Splatter Vinyl LP (IMPORT),OPPRESSOR,Agony,Vinyl,Transparent Black/White Splatter Vinyl LP (IMPORT)
IMPALED NAZARENE - Ugra Karma - Limited Marble Vinyl LP,Impaled Nazarene,Ugra Karma,Vinyl,Limited Marble Vinyl LP
Job For a Cowboy (JFAC) Moon Healer - Ice Blue Marbled Vinyl LP,Job For a Cowboy,Moon Healer,Vinyl,
SUFFOCATION - Effigy of the Forgotten - Limited Transparent Blue vinyl LP,Suffocation,Effigy of the Forgotten,Vinyl,Limited Transparent Blue vinyl LP
Tesseract - Polaris Vinyl LP,TESSERACT,Polaris,Vinyl,
Kardashev - Liminal Rite - Pale-Blue/Grey Marbled Vinyl (Direct Import),Kardashev,Liminal Rite,Vinyl,Pale-Blue/Grey Marbled Vinyl (Direct Import)
Locrian - End Terrain - Lavender/Ghost color Mix w/ Splatter,Locrian,End Terrain,Vinyl,Lavender/Ghost color Mix w/ Splatter
Moonlight Sorcery - Horned Lord of the Thorned Castle - Vinyl LP (multi variant choices),Moonlight Sorcery,Horned Lord of the Thorned Castle,Vinyl,Vinyl LP (multi variant choices)
Unleashed - Sworn Allegiance - Orange-Brown Swirl Vinyl LP,Unleashed,Sworn Allegiance,Vinyl,Orange-Brown Swirl Vinyl LP
