description,artist,album,format,extra
$6 Tapes,?,?,Other,
Overstock Vinyl,?,?,Other,
Këkht Aräkh CDs & Tapes,?,?,Other,
$6 CDs,?,?,Other,
"Grimdor – There and Back Again 10""",Grimdor,There And Back Again,Vinyl,
"Weeping Coffin – F.B.I 10"" EP",Weeping Coffin,F.B.I.,Vinyl,
"Grimdor – There and Back Again 10""",Grimdor,There and Back Again,Vinyl,
Noenum – Fiery Path 10”,Noenum,Fiery Path,Vinyl,
"Weeping Coffin – F.B.I 10"" EP",Weeping Coffin,F.B.I.,Vinyl,
"Shades of Vrsaj'kett – Vengeful Spirit Black Metal 12"" EP",Shades of Vrsaj'kett,Vengeful Spirit,Vinyl,
"Satanic Ritual Glorification – Capra Cathedrali\xa012"" LP",Satanic Ritual Glorification,Capra Cathedrali,Vinyl,
Gärgäntuäh \u200e– Urmystyk\xa012,Gärgäntuäh,Urmystyk,Vinyl,
"Valac / Sulfurous Presence – Split 12"" LP",Valac / Sulfurous Presence,Split,Vinyl,
"Nidernes – Beyond the Gleam of Nightsky 12"" LP",Nidernes,Beyond the Gleam of Nightsky,Vinyl,
"Rhinocervs – 08 12"" LP",Rhinocervs,8,Vinyl,
"Nihil Invocation / Drug Darkness – Split 12"" LP",Nihil Invocation / Drug Darkness,Split,Vinyl,
"Celebratum – Kollektiv Sinnssykdom 12"" LP",Celebratum,Kollektiv Sinnssykdom,Vinyl,
"Ahkqueth – Ajaakonigadamang 12"" LP",Ahkqueth,Ajaakonigadamang,Vinyl,
"Old Nick – Witch Lymph / Flying Ointment 12"" LP",Old Nick,Witch Lymph / Flying Ointment,Vinyl,
"Girtablullû – Exorcism in Moonlight 12"" LP",Girtablullû,Exorcism in Moonlight,Vinyl,
"Karnilapakte – s/t 12"" LP",Karnilapakte,s/t,Vinyl,
"Grógaldr / Äkth Gánahëth – Split 12"" LP",Grógaldr / Äkth Gánahëth,Split,Vinyl,
"Trembling Void – The Burning Question 12"" LP",Trembling Void,The Burning Question,Vinyl,
"Vuajtje – Lost Under the Stygian Shade 12"" LP",Vuajtje,Lost Under the Stygian Shade,Vinyl,
"Warloghe – Three Angled Void 12"" LP",Warloghe,Three Angled Void,Vinyl,
"Vampiric Coffin – s/t 12"" LP",Vampiric Coffin,s/t,Vinyl,
"Cantique Lépreux – Sectes 12"" LP + CD",Cantique Lépreux,Sectes,Vinyl,
"Sequestered Keep – Land Beyond Dreams 12"" LP",Sequestered Keep,Land Beyond Dreams,Vinyl,
"Trembling Void / Nightgaunt – Terrifying Vistas of Reality 12"" LP",Trembling Void / Nightgaunt,Terrifying Vistas of Reality,Vinyl,
"Крюкокрест / Niteris – Split 12"" LP",Крюкокрест / Niteris,Split,Vinyl,
"Geheimnisvoll – The Endless Void of Eternal Suffering and Enslavement 12"" LP",Geheimnisvoll,The Endless Void of Eternal Suffering and Enslavement,Vinyl,
"Lost Horizons – Medieval Might & Destiny 12"" LP",Lost Horizons,Medieval Might & Destiny,Vinyl,
"Funeral Fullmoon / Nocturnal Prayer – Disciples of the Moonlight Worship 12""  LP",Funeral Fullmoon / Nocturnal Prayer,Disciples of the Moonlight Worship,Vinyl,
"Vampyric Blood – Watching the Nights Rot in Eternal Melancholy 12"" LP",Vampyric Blood,Watching The Nights Rot In Eternal Melancholy,Vinyl,
"Abigor ‎– Totschläger (A Saintslayer's Songbook) 12"" LP",Abigor,Totschläger (A Saintslayer's Songbook),Vinyl,
"Wulkanaz ‎– HaglaNaudizEisaz 12"" LP",Wulkanaz,HaglaNaudizEisaz,Vinyl,
"Sad – Enlightened by Darkness 12"" LP",SAD,Enlightened by Darkness,Vinyl,
"Mistmoor – Through Endless Forests 12"" LP",Mistmoor,Through Endless Forests,Vinyl,
"Elemental – Nightburn 12"" LP",Elemental,Nightburn,Vinyl,
"Brume d'Automne – La Grande Noirceur 12"" LP",Brume d'Automne,La Grande Noirceur,Vinyl,
"Forlorn Aspect – Benthic Orations 12"" LP",Forlorn Aspect,Benthic Orations,Vinyl,
"Drug Darkness / Vampirska – Split 12"" LP",Drug Darkness / Vampirska,Split,Vinyl,
"Felvum – Fullmoon Mysticism 12"" LP",Felvum,Fullmoon Mysticism,Vinyl,
"Valac – Leaning Toward Bitter Misery 12"" LP",Valac,Leaning Toward Bitter Misery,Vinyl,
"Moonshrine – Hallucinatory Forest Rituals 12"" LP",Moonshrine,Hallucinatory Forest Rituals,Vinyl,
"Occulto Lunae  – Antediluvian Conjuration of the Desolate Moon 12"" LP",Occulto Lunae,Antediluvian Conjuration of the Desolate Moon,Vinyl,
"Lycanthropy – ...As the Mourners Arise 12"" LP",Lycanthropy,...As the Mourners Arise,Vinyl,
"Thorns of Malice / Moraš – Quivering Silhouettes Beneath the Corrupting Gleam 12"" LP",Thorns of Malice / Moraš,Quivering Silhouettes Beneath the Corrupting Gleam,Vinyl,
"Thallid – s/t 12"" LP",Thallid,s/t,Vinyl,
"Vetëvrakh – Satanic Black Moloch 12"" LP",Vetëvrakh,Satanic Black Moloch,Vinyl,
"Voëmmr – Negras sessões no abismo sul 12"" LP",Voëmmr,Negras sessões no abismo sul,Vinyl,
"Rhinocervs – 16 12"" LP",Rhinocervs,16,Vinyl,
"Glemt / UVSS / Crucifixion Bell / Celestial Sword – Split 12"" LP",Glemt / UVSS / Crucifixion Bell / Celestial Sword,Split,Vinyl,
"Absolute Key – The Third Level of Decay 12"" LP",Absolute Key,The Third Level of Decay,Vinyl,
"Eosphoros – II 12"" LP",Eosphoros,II,Vinyl,
"Megalith Grave / Nihil Invocation – Malicious Curses Reached in Drowning Night 12"" LP",Megalith Grave / Nihil Invocation,Malicious Curses Reached in Drowning Night,Vinyl,
"Brume D'Automne – Brume D'Automne 12"" LP",Brume D'Automne,Brume D'Automne,Vinyl,
"Solus Grief – With a Last Exhale 12"" LP",Solus Grief,With a Last Exhale,Vinyl,
"Vrkolak – Carpathian Tyranny Returns 12"" LP",Vrkolak,Carpathian Tyranny Returns,Vinyl,
"Warped Skull – A Feverish Recollection of Battle 12"" LP",Warped Skull,A Feverish Recollection of Battle,Vinyl,
"Golden Talon – Demo I 12"" LP",Golden Talon,Demo I,Vinyl,
"Khaos Aura – Born of this Fire 12"" LP",Khaos Aura,Born of this Fire,Vinyl,
"Valac – Howls of Infinite Horror 12"" LP",Valac,Howls of Infinite Horror,Vinyl,
"Rotten Moon – No Dawn in This World of Infernal Eclipses 12"" LP",Rotten Moon,No Dawn in This World of Infernal Eclipses,Vinyl,
"Stabat Mater – Treason by Son of Man 12"" LP",Stabat Mater,Treason by Son of Man,Vinyl,
"Dmigor – Poison Emerald Blood Crown 12"" LP",Dmigor,Poison Emerald Blood Crown,Vinyl,
"Sovereign – Dimension of Torment 12"" LP",Sovereign,Dimension of Torment,Vinyl,
"Ulfarr – The Ruins of Human Failure 12"" LP",Ulfarr,The Ruins of Human Failure,Vinyl,
"Pénombre ‎– Méphistophélès (Ou le diable sur terre) 12"" LP",Pénombre,Méphistophélès (ou le diable sur terre),Vinyl,
"Trhä / Μνήμα – Split 12"" LP",Trhä / Μνήμα,Split,Vinyl,
"Inquisition – Incense of Rest 12"" LP",Inquisition,Incense of Rest,Vinyl,
"Mons Veneris / Broken Spirit – Voices: Herald to the Master 12"" LP (Gold Vinyl)",Mons Veneris / Broken Spirit,Voices: Herald to the Master,Vinyl,
"Majesty of the Crimson Moon – The Whispering of the Fullmoon 12"" LP",Majesty of the Crimson Moon,The Whispering of the Fullmoon,Vinyl,
"Ildganger – For Hver Tanke Mister Sjælen Atter Farve 12"" LP",Ildganger,For Hver Tanke Mister Sjælen Atter Farve,Vinyl,
"Circle of Ouroborus – Lumi Vaientaa Kysymykse 12"" LP",Circle Of Ouroborus,Lumi Vaientaa Kysymykse,Vinyl,
"Wagner Ödegård – Om Twenne Kosmos 12"" LP",Wagner Ödegård,Om Twenne Kosmos,Vinyl,
"Dark Storm – Early Years – 12” LP + 7""",Dark Storm,Early Years,Vinyl,
Ossaert – Offerdier 12”,Ossaert,Offerdier,Vinyl,
"Void Prayer ‎– Relics of the Storm 12"" MLP",Void Prayer,Relics of the Storm,Vinyl,
"Werewolf Bloodorder – Rites of Murder and Sacrifice 12"" MLP",Werewolf Bloodorder,Rites of Murder and Sacrifice,Vinyl,
Primeval Well – S/T 2xLP,Primeval Well,S/T,Vinyl,
Black Draugwath – The Draugwath Legacy 2xLP,Black Draugwath,The Draugwath Legacy,Vinyl,
La Garde Noire 2xLP,?,?,Vinyl,
Black Imperial Blood / Grundhyrde\xa0– Split 7’’ EP,Black Imperial Blood / Grundhyrde,Split,Vinyl,
"Weltentod – Schändung Des Heiligen Geistes 7"" EP",Weltentod,Schändung Des Heiligen Geistes,Vinyl,
"The True Werwolf / As Sahar – Split 7"" EP",The True Werwolf / As Sahar,Split,Vinyl,
Nächtlich / Grundhyrde ‎– Split CD,Nächtlich / Grundhyrde,Split,CD,
Revenant Marquis ‎– Below the Landsker Line CD,Revenant Marquis,Below the Landsker Line,CD,
Drowning the Light – Violet Mercury & Moonlit Sorcery CD,Drowning The Light,Violet Mercury & Moonlit Sorcery,CD,
Drowning the Light – Catacombs of Blood CD,Drowning The Light,Catacombs of Blood,CD,
Sëht – Kenvassã Ejarmä Enva Valarãã CD,Sëht,Kenvassã Ejarmä Enva Valarãã,CD,
ldganger – Wanderer of Fiery Planes CD,ldganger,Wanderer of Fiery Planes,CD,
Wampyric Rites – The Rites of the Vampire Inscriptions CD,Wampyric Rites,The Rites of the Vampire Inscriptions,CD,
Drowning the Light – Through the Noose of Existence CD,Drowning The Light,Through the Noose of Existence,CD,
Vindalf – Under the Banner of the Wolf CD,Vindalf,Under the Banner of the Wolf,CD,
Trijumf – Trijumf Ili Smrt Trijumf CD,Trijumf,Trijumf Ili Smrt Trijumf,CD,
Ancestral Shadows – Eldritch Illumination CD,Ancestral Shadows,Eldritch Illumination,CD,
Drowning the Light – Lurker of the Void CD,Drowning The Light,Lurker of the Void,CD,
Black Cilice – Mysteries CD,Black Cilice,Mysteries,CD,
Drowning the Light – Oceans of Eternity CD,Drowning The Light,Oceans of Eternity,CD,
Emaciated by Christ – Fanisk CD,Emaciated by Christ,Fanisk,CD,
Wampyric Rites / Moloch – Split CD,Wampyric Rites / Moloch,Split,CD,
Deathcircle – Feast Upon the World of Illusions CD,Deathcircle,Feast Upon the World of Illusions,CD,
Drowning the Light – A World Long Dead CD,Drowning The Light,A World Long Dead,CD,
Mantiel – Vestiges Engraved in Frozen Mysticism CD,Mantiel,Vestiges Engraved in Frozen Mysticism,CD,
Moongate / Todlicht – Split Tape,Moongate / Todlicht,Split,Cassette,
Altertum – Thunder From the Great Halls Tape,Altertum,Thunder From the Great Halls,Cassette,
Wampyric Rites / Moloch – Split Tape,Wampyric Rites / Moloch,Split,Cassette,
Ride for Revenge – Wisdom of the Few Tape,Ride For Revenge,Wisdom of the Few,Cassette,
Lunar Spells – Demise of Heaven Tape,Lunar Spells,Demise of Heaven,Cassette,
Dödsrit – Nocturnal Will Tape,Dödsrit,Nocturnal Will,Cassette,
Erstwhile / Mystic Veil – Triumph in the Fading Light Tape,Erstwhile / Mystic Veil,Triumph in the Fading Light,Cassette,
Midnight Betrothed – Death...My Faithful Bride Tape,Midnight Betrothed,Death...My Faithful Bride,Cassette,
Ghemhamforash – Bloodletting Tape,Ghemhamforash,Bloodletting,Cassette,
