description,artist,album,format,extra
Blastbeats Vinyl - The Black Tote Bag,?,?,Other,
Discord Secret Bundle #1,?,?,Other,
Blastbeats Vinyl Gift Card,?,?,Other,
Draft product for testing,?,?,Other,
Drain LP,?,?,Other,
"Bathory ""Blood Fire Death"" Vinyl LP (Official Pressing)",Bathory,Blood Fire Death,Vinyl,
"Bathory ""Blood Fire Death"" Picture LP (Official Pressing)",Bathory,Blood Fire Death,Vinyl,
INANIMATE EXISTENCE - The Masquerade Limited Colored Vinyl (2 variants),Inanimate Existence,The Masquerade,Vinyl,
Harms Way - Common Suffering - *numbered /300* Crystal Clear/Black Dust Vinyl,Harms Way,Common Suffering,Vinyl,*numbered /300* Crystal Clear/Black Dust Vinyl
Malist - To Mantle the Rising Sun - LTD 199 Transparent Orange Vinyl LP,Malist,To Mantle the Rising Sun,Vinyl,LTD 199 Transparent Orange Vinyl LP
[NESI] Zuriaake - Autumn Of Sad Ode/Ghost Ritual - ltd 100 Black Splatter LP - Asian Market Exclusive,Zuriaake,Autumn Of Sad Ode/Ghost Ritual,Vinyl,ltd 100 Black Splatter LP - Asian Market Exclusive
Cattle Decapitation - Karma.Bloody.Karma - LP Gatefold Colored,Cattle Decapitation,Karma.Bloody.Karma,Vinyl,LP Gatefold Colored
Naglfar - Vittra (Re-issue 2023) - EU Exclusive Ltd. 500 transp. green LP & LP-Booklet - BBV Import,Naglfar,Vittra,Vinyl,EU Exclusive Ltd. 500 transp. green LP & LP-Booklet - BBV Import
Nightbringer - DEATH AND THE BLACK WORK + REX EX ORDINE THRONI - 3xLP LTD Galaxy Vinyl,Nightbringer,Death and the Black Work + Rex Ex Ordine Throni,Vinyl,3xLP LTD Galaxy Vinyl
Septicflesh - Mystic Places of Dawn - DOUBLE LP Gatefold - Limited to 250,Septicflesh,Mystic Places of Dawn,Vinyl,DOUBLE LP Gatefold - Limited to 250
"CARCASS - HEARTWORK - ULTIMATE EDITION:  2X12"" RED, FDR VINYL LP",Carcass,Heartwork,Vinyl,"ULTIMATE EDITION:  2X12"" RED, FDR VINYL LP"
"Gaerea - Mirage - DOUBLE LP GATEFOLD - Clear, Limited to 300!",Gaerea,Mirage,Vinyl,"DOUBLE LP GATEFOLD - Clear, Limited to 300!"
"DEMON KING - The Final Tyranny 12"" [Chaos Variant]",Demon King,The Final Tyranny,Vinyl,
