description,artist,album,format,extra
Clandestine Blaze logo shirt,?,?,Other,
Convivial Hermit #10,?,?,Other,
"Furdidurke ""November 2005"" Rehearsal 10""",Furdidurke,November 2005 Rehearsal,Vinyl,
"Abhartach ""Witch Division"" 10""",Abhartach,Witch Division,Vinyl,
"Vendetta Blitz ""Stratagem"" 10""",Vendetta Blitz,Stratagem,Vinyl,
"Exacerbacion ""Ser Humano Atroz"" 10""",Exacerbacion,Ser Humano Atroz,Vinyl,
"Morke ""Return from the Dead"" 10""",Morke,Return from the Dead,Vinyl,
"Blaspherian ""Upon the Throne... of Eternal Blasphemous Death"" 7""",Blaspherian,Upon the Throne... of Eternal Blasphemous Death,Vinyl,
"Necrostrigis / Winter Blackness ""W mrokach roziskrzonych mrozem"" split 7""",Necrostrigis / Winter Blackness,W Mrokach Roziskrzonych Mrozem,Vinyl,
"The True Werwolf / Arallu split 7""",The True Werwolf / Arallu,Split,Vinyl,
"Krypta Nicestwa ""Widma zimowej martwoty"" 7""",Krypta Nicestwa,Widma Zimowej Martwoty,Vinyl,
"Deconsecration / Noisegoat split 7""",Deconsecration / Noisegoat,Split,Vinyl,
"Graveland ""In the Glare of Burning Churches"" CD",Graveland,In the Glare of Burning Churches,CD,
"Helleruin ""War Upon Man"" CD",Helleruin,War Upon Man,CD,
"Grave Pilgrim ""The Bigotry of Purpose"" CD",GRAVE PILGRIM,The Bigotry of Purpose,CD,
"Unholy Flames ""Shadows of Eternity"" CD",Unholy Flames,Shadows of Eternity,CD,
"Circumventor ""Norton X"" CD",Circumventor,Norton X,CD,
"Necromantic Worship ""Rites of Resurrection"" CD",Necromantic Worship,Rites of Resurrection,CD,
"Killen ""Killen"" CD",Killen,Killen,CD,
"Sacrilegium ""Recidivus"" CD",Sacrilegium,Recidivus,CD,
Wolfnacht / Goatmoon / Thy Serpent split CD,Wolfnacht / Goatmoon / Thy Serpent,Split,CD,
"Abigor ""Apokalypse"" CD",Abigor,Apokalypse,CD,
"Stonehaven / Hadak Ura ""Deathcry Along The Don"" split CD",Stonehaven / Hadak Ura,Deathcry Along The Don,CD,
"Necrolust ""Kill And Die By Satan"" CD",Necrolust,Kill And Die By Satan,CD,
"Telos ""Intransigence"" CD",Telos,Intransigence,CD,
"Lucifugum ""Infernalistica"" CD",Lucifugum,Infernalistica,CD,
"Warlord ""And The Cannons Of Destruction Have Begun..."" CD",Warlord,And The Cannons Of Destruction Have Begun...,CD,
"Infinitum Obscure ""Sub Atris Caelis"" CD",Infinitum Obscure,Sub Atris Caelis,CD,
"Kiira ""Iättömän sanat"" CD",Kiira,Iättömän sanat,CD,
"Azaxul ""Echoes of Dreariness"" CD",Azaxul,Echoes of Dreariness,CD,
"Lord Wind ""Heralds Of Fight"" CD",Lord Wind,Heralds Of Fight,CD,
"Putrid Marsh / Warped Skull ""Demos Collection"" 2CD",Putrid Marsh / Warped Skull,Demos Collection,CD,
"Naught ""Night Eternal"" CD",Naught,Night Eternal,CD,
"Lordian Guard ""Sinners in the Hands of an Angry God"" 2CD",Lordian Guard,Sinners in the Hands of an Angry God,CD,
"Lord Kaos ""Thorns of Impurity"" CD",Lord Kaos,Thorns of Impurity,CD,
"Mixomatosis ""Si Pots, Conserva El Teu Cap"" CD",Mixomatosis,"Si Pots, Conserva El Teu Cap",CD,
"Book of Skelos ""Magickal Atavism"" CD",Book of Skelos,Magickal Atavism,CD,
"Golfaron ""Odwieczna Pieśń Lasu"" CD",Golfaron,Odwieczna Pieśń Lasu,CD,
"Dead Dog's Howl ‎""Black Circle Transcendency"" CD",Dead Dog's Howl,Black Circle Transcendency,CD,
"Troll ""Time Tells No Lies"" CD",Troll,Time Tells No Lies,CD,
"Bloodshed Walhalla ""Thor"" CD",Bloodshed Walhalla,Thor,CD,
Diamond Needle / Baby's Breath split CD,Diamond Needle / Baby's Breath,Split,CD,
"Ion Britton ""Eat Metal"" CD",Ion Britton,Eat Metal,CD,
"Necromonarchia Daemonum ""Anathema Darkness"" CD",Necromonarchia Daemonum,Anathema Darkness,CD,
"Lucifugum ""Anaphora Lithu Actinism"" CD",Lucifugum,Anaphora Lithu Actinism,CD,
"Harfang ""Slice of Life"" 2CD",Harfang,Slice of Life,CD,
"Elyvilon ""Nimueh's Gift"" CD",Elyvilon,Nimueh's Gift,CD,
"Warlord ""Rising Out Of The Ashes"" 2CD",Warlord,Rising Out of the Ashes,CD,
"Cirrhus ""Unimpeachable Madness"" CD",Cirrhus,Unimpeachable Madness,CD,
"Sterbefall ""Verlorene Zeit"" CD",Sterbefall,Verlorene Zeit,CD,
"Ewige Treue ""Tag Der Freiheit"" CD",Ewige Treue,Tag Der Freiheit,CD,
"Lucifugum ""Agonia Agnosti"" CD",Lucifugum,Agonia Agnosti,CD,
"Grave Pilgrim ""Molten Hands Reach West"" CD",GRAVE PILGRIM,Molten Hands Reach West,CD,
"Famulus ab Satanas ""Sacred Assembly Beneath Unholy Secrecy"" CD",Famulus ab Satanas,Sacred Assembly Beneath Unholy Secrecy,CD,
"Warlord ""Live in Athens 2013"" 2CD",Warlord,Live in Athens 2013,CD,
"Bradung ""Bami Viagra"" CD",Bradung,Bami Viagra,CD,
"Abhomine ""Demonize Destroy Delete"" CD",Abhomine,Demonize Destroy Delete,CD,
"Equimanthorn ‎""Entrance To The Ancient Flame"" CD",Equimanthorn,Entrance To The Ancient Flame,CD,
"Moonblood ""The Winter Falls Over The Land"" 2CD",Moonblood,The Winter Falls Over The Land,CD,
"Nortfalke ""Moonjeie"" CD",NORTFALKE,Moonjeie,CD,
"Avox ""Desolate Land"" CD",Avox,Desolate Land,CD,
"Bloodshed Walhalla ""The Battle Will Never End"" CD",Bloodshed Walhalla,The Battle Will Never End,CD,
"Dark Fury ""Slavonic Thunder"" CD",Dark Fury,Slavonic Thunder,CD,
"Grizelda ""A War Drenched in Fantasy"" CD",Grizelda,A War Drenched In Fantasy,CD,
"Cirrhus ""Cirrhus"" CD",Cirrhus,Cirrhus,CD,
"Beherit ""Seventh Blasphemy"" CD",Beherit,Seventh Blasphemy,CD,
"Wrok ""De Dood Roept"" CD",Wrok,De Dood Roept,CD,
"Grizelda ""Grizelda"" CD",Grizelda,Grizelda,CD,
"Black Crucifixion ""The Fallen One of Flames"" CD",Black Crucifixion,The Fallen One of Flames,CD,
