description,artist,album,format,extra
Lychgate | Thus sprach Futura | /category/250,Lychgate,Thus sprach Futura,Vinyl,
Kryptan | Kryptan (Grey/Black merge) | /category/250,Kryptan,Kryptan,Vinyl,Grey/Black merge
Aara | Anthropozän (black/oxblood) | /category/251,Aara,Anthropozän,Vinyl,black/oxblood
The Amenta | Solipschism | /category/251,The Amenta,Solipschism,Vinyl,
The Lovecraft Sextet | Black†White | /category/251,The Lovecraft Sextet,Black†White,Vinyl,
Arkona | Age Of Capricorn | /category/26,Arkona,Age Of Capricorn,CD,
In The Woods... | Cease The Day | /category/26,In The Woods...,Cease The Day,CD,
Terra Tenebrosa | The Reverses | /category/26,Terra Tenebrosa,The Reverses,CD,
Light of the Morning Star | Charnel Noir | /category/26,Light of the Morning Star,Charnel Noir,CD,
Blut Aus Nord | Disharmonium - Undreamable Abysses | /category/26,Blut Aus Nord,Disharmonium - Undreamable Abysses,CD,
Ulcerate | Stare Into Death And Be Still | /category/26,Ulcerate,Stare Into Death And Be Still,CD,
Power From Hell | Shadows Devouring Light | /category/26,Power From Hell,Shadows Devouring Light,CD,
Pure Wrath | Hymn To The Woeful Hearts | /category/26,Pure Wrath,Hymn To The Woeful Hearts,CD,
Blut Aus Nord | Codex Obscura Nomina | /category/26,Blut Aus Nord,Codex Obscura Nomina,CD,
Akhlys | Melinoë | /category/26,Akhlys,Melinoë,CD,
Death Fetishist | Clandestine Sacrament | /category/26,Death Fetishist,Clandestine Sacrament,CD,
Cultus Profano | Accursed Possession | /category/26,Cultus Profano,Accursed Possession,CD,
Aara | Triade I: Eos (special edition) | /category/26,Aara,Triade I: Eos,CD,special edition
Insect Ark | Raw Blood Singing | /category/26,Insect Ark,Raw Blood Singing,CD,
Archgoat | Worship The Eternal Darkness (special edition) | /category/26,Archgoat,Worship The Eternal Darkness,CD,special edition
Plebeian Grandstand | Rien ne suffit | /category/26,Plebeian Grandstand,Rien ne suffit,CD,
Aara | Triade I: Eos | /category/26,Aara,Triade I: Eos,CD,
Tenebrae In Perpetuum | Anorexia Obscura | /category/26,Tenebrae In Perpetuum,Anorexia Obscura,CD,
Behexen | From The Devil's Chalice | /category/26,Behexen,From The Devil's Chalice,CD,
Behexen | My Soul For His Glory | /category/26,Behexen,My Soul For His Glory,CD,
Dirge | Lost Empyrean | /category/26,Dirge,Lost Empyrean,CD,
The Lovecraft Sextet | Miserere | /category/26,The Lovecraft Sextet,Miserere,CD,
Ulcerate | Cutting the Throat of God | /category/26,Ulcerate,Cutting the Throat of God,CD,
Archgoat | Worship The Eternal Darkness | /category/26,Archgoat,Worship The Eternal Darkness,CD,
Selbst | Despondency Chord Progressions | /category/26,Selbst,Despondency Chord Progressions,CD,
White Ward | Love Exchange Failure | /category/26,White Ward,LOVE EXCHANGE FAILURE,CD,
Pestifer | Defeat Of The Nemesis | /category/26,Pestifer,DEFEAT OF THE NEMESIS,CD,
Imperial Crystalline Entombment | Apocalyptic End In White | /category/26,Imperial Crystalline Entombment,Apocalyptic End In White,CD,
Godkiller | We Are The Black Knights | /category/26,Godkiller,We Are The Black Knights,CD,
Dodsengel | Bab Al On | /category/26,Dodsengel,Bab Al On,CD,
Horna / Behexen | Split | /category/26,Horna / Behexen,Split,CD,
Au Champ Des Morts | Dans La Joie | /category/26,Au Champ Des Morts,Dans La Joie,CD,
Eitrin | S/T (DMP Exclusive) | /category/26,Eitrin,S/T,CD,DMP Exclusive
Blut Aus Nord | Hallucinogen | /category/26,Blut Aus Nord,HALLUCINOGEN,CD,
Aara | Triade III: Nyx (special edition) | /category/26,Aara,Triade III: Nyx,CD,special edition
Mütterlein | Bring Down The Flags | /category/26,Mütterlein,Bring Down The Flags,CD,
Dodsengel | Interequinox | /category/26,Dodsengel,Interequinox,CD,
Kryptan | Kryptan | /category/26,Kryptan,Kryptan,CD,
Taubra | Therizo | /category/26,Taubra,Therizo,CD,
Eitrin | S/T | /category/26,Eitrin,S/T,CD,
Cailleach Calling | Dreams Of Fragmentation | /category/26,Cailleach Calling,Dreams Of Fragmentation,CD,
Blut Aus Nord | What Once Was... Liber I | /category/26,Blut Aus Nord,What Once Was... Liber I,CD,
Suhnopfer | Hic Regnant Borbonii Manes | /category/26,Suhnopfer,Hic Regnant Borbonii Manes,CD,
Lychgate | Thus sprach Futura | /category/26,Lychgate,Thus sprach Futura,CD,
Blut Aus Nord | Ultima Thulée | /category/26,Blut Aus Nord,Ultima Thulée,CD,
Perilaxe Occlusion | Vapor Chamber | /category/26,Perilaxe Occlusion,VAPOR CHAMBER,CD,
White Ward | Debemur Morti | /category/26,White Ward,Debemur Morti,CD,
Blut Aus Nord | ​Disharmonium - Nahab | /category/26,Blut Aus Nord,​Disharmonium - Nahab,CD,
Manes | Slow Motion Death Sequence | /category/26,Manes,Slow Motion Death Sequence,CD,
Imperial Crystalline Entombment | Ancient Glacial Resurgence | /category/26,Imperial Crystalline Entombment,Ancient Glacial Resurgence,CD,
Anarkhon | Phantasmagorical Personification Of The Death Temple | /category/26,Anarkhon,Phantasmagorical Personification Of The Death Temple,CD,
Kaleikr | Heart Of Lead | /category/26,Kaleikr,Heart Of Lead,CD,
Waidelotte | Celestial Shrine | /category/26,Waidelotte,Celestial Shrine,CD,
Modern Rites | Monuments | /category/26,Modern Rites,Monuments,CD,
Arkona | Lunaris | /category/26,Arkona,Lunaris,CD,
Blut Aus Nord | Memoria Vetusta II - Dialogue With The Stars | /category/26,Blut Aus Nord,Memoria Vetusta II - Dialogue With The Stars,CD,
Pestilent Hex | The Ashen Abhorrence | /category/26,Pestilent Hex,The Ashen Abhorrence,CD,
Yeruselem | The Sublime | /category/26,Yeruselem,The Sublime,CD,
White Ward | Origins | /category/26,White Ward,Origins,CD,
Terra Tenebrosa | The Purging | /category/26,Terra Tenebrosa,The Purging,CD,
Aara | Triade II: Hemera | /category/26,Aara,Triade II: Hemera,CD,
Crimson Moon | Mors Vincit Omnia | /category/26,Crimson Moon,Mors Vincit Omnia,CD,
Archgoat | Black Mass XXX | /category/26,Archgoat,Black Mass XXX,CD,
Aara | En Ergô Einai | /category/26,Aara,En Ergô Einai,CD,
Other World | Tenebrous | /category/26,Other World,Tenebrous,CD,
The Amenta | Revelator | /category/26,The Amenta,Revelator,CD,
Akhlys | House of the Black Geminus | /category/26,Akhlys,House of the Black Geminus,CD,
Anarkhon | Obiasot Dwybat Ptnotun | /category/26,Anarkhon,Obiasot Dwybat Ptnotun,CD,
Light of the Morning Star | Charnel Noir (special edition) | /category/26,Light of the Morning Star,Charnel Noir,CD,special edition
Syberia | Resiliency | /category/26,Syberia,Resiliency,CD,
White Ward | Futility Report | /category/26,White Ward,Futility Report,CD,
Aversio Humanitatis | Behold The Silent Dwellers | /category/26,Aversio Humanitatis,Behold The Silent Dwellers,CD,
Latitudes | Part Island | /category/26,Latitudes,Part Island,CD,
Suhnopfer | Nous sommes d'Hier | /category/26,Suhnopfer,Nous sommes d'Hier,CD,
TheNightTimeProject | Pale Season | /category/26,TheNightTimeProject,Pale Season,CD,
Aoratos | Gods Without Name | /category/261,Aoratos,Gods Without Name,Vinyl,
Archgoat | The Luciferian Crown | /category/261,Archgoat,The Luciferian Crown,Vinyl,
Pestifer | Defeat Of The Nemesis | /category/261,Pestifer,DEFEAT OF THE NEMESIS,Vinyl,
Pestilength | Solar Clorex | /category/261,Pestilength,Solar Clorex,Vinyl,
Cultus Profano | Accursed Possession (red / milky merge) | /category/261,Cultus Profano,Accursed Possession,Vinyl,red / milky merge
Light of the Morning Star | Charnel Noir | /category/261,Light of the Morning Star,Charnel Noir,Vinyl,
Aara | Triade II: Hemera (half/half effect) | /category/261,Aara,Triade II: Hemera,Vinyl,half/half effect
Anarkhon | Phantasmagorical Personification Of The Death Temple | /category/261,Anarkhon,Phantasmagorical Personification Of The Death Temple,Vinyl,
Waidelotte | Celestial Shrine | /category/261,Waidelotte,Celestial Shrine,Vinyl,
Archgoat | Worship The Eternal Darkness (black vinyl) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,black vinyl
Bacchus | II (DMP exclusive) | /category/261,Bacchus,II,Vinyl,DMP exclusive
Aara | Triade II: Hemera (galaxy effect) | /category/261,Aara,Triade II: Hemera,Vinyl,galaxy effect
Bacchus | II | /category/261,Bacchus,II,Vinyl,
Blut Aus Nord | ​Disharmonium - Nahab (black vinyl) | /category/261,Blut Aus Nord,​Disharmonium - Nahab,Vinyl,black vinyl
Archgoat | The Light-Devouring Darkness | /category/261,Archgoat,The Light-Devouring Darkness,Vinyl,
Pestilent Hex | The Ashen Abhorrence | /category/261,Pestilent Hex,The Ashen Abhorrence,Vinyl,
Modern Rites | Monuments | /category/261,Modern Rites,Monuments,Vinyl,
Aversio Humanitatis | Behold The Silent Dwellers | /category/261,Aversio Humanitatis,Behold The Silent Dwellers,Vinyl,
Yeruselem | The Sublime | /category/261,Yeruselem,The Sublime,Vinyl,
Godkiller | We Are The Black Knights | /category/261,Godkiller,We Are The Black Knights,Vinyl,
Behexen | Rituale Satanum | /category/261,Behexen,Rituale Satanum,Vinyl,
Cultus Profano | Accursed Possession (half black / half red) | /category/261,Cultus Profano,Accursed Possession,Vinyl,half black / half red
Blut Aus Nord | Ultima Thulée (cloudy effect) | /category/261,Blut Aus Nord,Ultima Thulée,Vinyl,cloudy effect
Power From Hell | Shadows Devouring Light | /category/261,Power From Hell,Shadows Devouring Light,Vinyl,
Aara | Triade III: Nyx | /category/261,Aara,Triade III: Nyx,Vinyl,
Selbst | Despondency Chord Progressions | /category/261,Selbst,Despondency Chord Progressions,Vinyl,
Blut Aus Nord | Memoria Vetusta I | /category/261,Blut Aus Nord,Memoria Vetusta I,Vinyl,
Aara | Triade I: Eos (black vinyl) | /category/261,Aara,Triade I: Eos,Vinyl,black vinyl
La Morte Viene Dallo Spazio | Sky Over Giza | /category/261,La Morte Viene Dallo Spazio,Sky Over Giza,Vinyl,
Aara | Triade II: Hemera | /category/261,Aara,Triade II: Hemera,Vinyl,
Imperial Crystalline Entombment | Ancient Glacial Resurgence (galaxy effect) | /category/261,Imperial Crystalline Entombment,Ancient Glacial Resurgence,Vinyl,galaxy effect
Óreiða | The Eternal | /category/261,Óreiða,The Eternal,Vinyl,
Insect Ark | Raw Blood Singing | /category/261,Insect Ark,Raw Blood Singing,Vinyl,
Blut Aus Nord | Deus Salutis Meae | /category/261,Blut Aus Nord,Deus Salutis Meae,Vinyl,
Akhlys | Melinoë (Yellow merge) | /category/261,Akhlys,Melinoë,Vinyl,Yellow merge
Insect Ark | Raw Blood Singing (DMP exclusive) | /category/261,Insect Ark,Raw Blood Singing,Vinyl,DMP exclusive
