description,artist,album,format,extra
DARK FURY &#8211; Shoot to Kill T-SHIRT OLIVE,?,?,Other,
OHTAR &#8211; Emptiness T-SHIRT,?,?,Other,
ATRA &#8211; Logo T-SHIRT,?,?,Other,
WOTANORDEN &#8211; Summoning the Beast Within T-SHIRT,?,?,Other,
LEVIATHAN &#8211; The Tenth Sub Level of Suicide T-SHIRT,?,?,Other,
MARDUK &#8211; Panzer Division Marduk T-SHIRT,?,?,Other,
"DEIPHAGO &#8211; I, the Devil CASSETTE",Deiphago,"I, the Devil",Cassette,
POHORON &#8211; People of the Goat CASSETTE,Pohoron,People of the Goat,Cassette,
DEEP DESOLATION &#8211; Boski jad CASSETTE,Deep Desolation,Boski Jad,Cassette,
MASSHU &#8211; Into the Darkness CASSETTE,Masshu,Into the Darkness,Cassette,
HAMMERS RULE &#8211; Show No Mercy CASSETTE,Hammers Rule,Show No Mercy,Cassette,
GUILLOTINA &#8211; Demo 2019 CASSETTE,Guillotina,Demo 2019,Cassette,
"ENCOFFINATION &#8211; O Hell, Shine in Thy Whited Sepulchures CASSETTE",Encoffination,"O Hell, Shine in Thy Whited Sepulchures",Cassette,
NECROSLEEZER &#8211; Pope Kill CASSETTE,Necrosleezer,Pope Kill,Cassette,
ET VERBI SATHANUS &#8211; Command CASSETTE,Et Verbi Sathanus,Command,Cassette,
BLASPHEMONGER &#8211; Impaled Beneath the Pentagram CASSETTE,Blasphemonger,Impaled Beneath the Pentagram,Cassette,
SUPERNAL REFUSE &#8211; Inversion Protocol CASSETTE,Supernal Refuse,Inversion Protocol,Cassette,
IN INFERNAL WAR &#8211; Guerra Infernal CASSETTE,In Infernal War,Guerra Infernal,Cassette,
GRAFVOLLUTH &#8211; Long Live Death! CASSETTE,Grafvolluth,Long Live Death!,Cassette,
ODIUM TOTUS &#8211; In Inceptum Finis Est CASSETTE,Odium Totus,In Inceptum Finis Est,Cassette,
