description,artist,album,format,extra
"USED - The Prowl - Misery 10""",The Prowl,Misery,Vinyl,Black 2003 press vinyl
"Hurricäde – Pariah's Pharos 10""",Hurricäde,Pariah's Pharos,Vinyl,Clear 2011 press vinyl
"Kryptan - Kryptan 10""",Kryptan,Kryptan,Vinyl,Grey w/ Splatter 1st press vinyl
"30,000 Monkies - Starrrrrrrring 10""","30,000 Monkies",Starrrrrrrring,Vinyl,Black 1st press vinyl
"Domain - Embodiment Of Suffering 12""",Domain,Embodiment Of Suffering,Vinyl,Grey w/ Black Swirl 2023 press
"Pvrgatorii - Con La Unas Clavadas 12""",Pvrgatorii,Con La Unas Clavadas,Vinyl,Black 1st press vinyl
"Infernal Death - Demo #1 / A Mirror Blackened 12""",Infernal Death,Demo #1 / A Mirror Blackened,Vinyl,Red/White 2021 press
"Zulu - My People... Hold On / Our Day Will Come 12""",Zulu,My People... Hold On / Our Day Will Come,Vinyl,Color 2023 press vinyl
"Old Man Gloom - Seminar III: Zozobra 12""",Old Man Gloom,Seminar III: Zozobra,Vinyl,Black 2023 press vinyl
"Narzissus – Akt I : Wille / Akt II : Fall 12""",Narzissus,Akt I : Wille / Akt II : Fall,Vinyl,Blue 2024 press vinyl
"Wormed - Metaportal 12"" EP",Wormed,Metaportal,Vinyl,Distributor Exclusive 2023 press
"Vulgar Mephitis - Vulgar Mephitis 12""",Vulgar Mephitis,Vulgar Mephitis,Vinyl,Gold w/ Splatter 2023 press
"Gutless - Mass Extinction 12""",Gutless,Mass Extinction,Vinyl,Clear 2023 press vinyl
"Vanguard - Rage Of Deliverance 12""",Vanguard,Rage Of Deliverance,Vinyl,Clear 2021 press vinyl
"Coltsblood / Un - Split 12""",Coltsblood / Un,Split,Vinyl,Color In Split Color w/ Splatter 2021 press vinyl
"Bedsore / Mortal Incarnation - Split 12""",Bedsore / Mortal Incarnation,Split,Vinyl,Black 2022 press vinyl
"Renounced - Conditioned From Birth 12""",Renounced,Conditioned From Birth,Vinyl,Clear w/ Smoke 2021 press
"USED - Feculent - The Grotesque Arena 12""",Feculent,The Grotesque Arena,Vinyl,Black 2021 press vinyl
"Undergang - De syv stadier af fordærv 12""",Undergang,De syv stadier af fordærv,Vinyl,Black 2023 press vinyl
"Knocked Loose - A Tear In The Fabric Of Life 12""",Knocked Loose,A Tear In The Fabric Of Life,Vinyl,Color 2024 press vinyl
"Hechael / Fit The Bill - Split 12""",Hechael / Fit The Bill,Split,Vinyl,Test Press 2020
"Blood Spore - Fungal Warfare Upon All Life 12""",Blood Spore,Fungal Warfare Upon All Life,Vinyl,Black 2020 press vinyl
"Kommand - The Demos 12""",Kommand,The Demos,Vinyl,Clear w/ Swirl 2021 press
"Ernia - Ernia 12""",Ernia,Ernia,Vinyl,Black 1st press vinyl
"Iætun - Glámur helblár 12""",Iætun,Glámur helblár,Vinyl,Lathe-Cut w/ Bronze Print 2022 press vinyl
"Prison Hell - The Dark Science 12""",Prison Hell,The Dark Science,Vinyl,Black 2023 press vinyl
"Sanction - With Blood Left Uncleansed 12""",Sanction,With Blood Left Uncleansed,Vinyl,Red/White Split 1st press
"Into The Moat - Means By Which The End Is Justified 12""",Into The Moat,Means By Which The End Is Justified,Vinyl,Random 2023 press vinyl
"USED - Isis - Mosquito Control 12""",Isis,Mosquito Control,Vinyl,Black 2018 press vinyl
"Blood Spore / Coagulate / Soul Devourment / Gutvoid – 4 Dimensions Of Auditory Terror 12""",Blood Spore / Coagulate / Soul Devourment / Gutvoid,4 Dimensions Of Auditory Terror,Vinyl,Black 2021 press vinyl
"Coma Regalia - En Sperata 12""",Coma Regalia,En Sperata,Vinyl,Black 2012 press vinyl
"Degraved - Whispered Morbidity 12""",Degraved,Whispered Morbidity,Vinyl,Blue 2023 press vinyl
"Common War – Speak Of The Devil 12"" EP",Common War,Speak Of The Devil,Vinyl,Clear 2019 press vinyl
"Structures - None Of The Above 12""",Structures,None Of The Above,Vinyl,Smoke w/ Splatter 2022 press
"Gatecreeper - An Unexpected Reality 12""",Gatecreeper,An Unexpected Reality,Vinyl,Orange/Pink/Yellow Mix 2021 press
"Intronaut - The Challenger 12"" EP",Intronaut,The Challenger,Vinyl,Black/White Merge 2020 press
"Zous - No Ground To Give 12""",Zous,No Ground To Give,Vinyl,Military Green 1st press vinyl
"Cryptworm - Reeking Gunk Of Abhorrence 12""",Cryptworm,Reeking Gunk of Abhorrence,Vinyl,Blue 2024 press vinyl
"Intronaut - The Challenger 12"" EP",Intronaut,The Challenger,Vinyl,Black In White w/ Black Splatter 2020 press
"Living Gate - Deathlust 12"" EP",Living Gate,Deathlust,Vinyl,Black 2020 press vinyl
"Coltsblood / Un - Split 12""",Coltsblood / Un,Split,Vinyl,Coke Bottle w/ Rainbow Splatter 2021 press vinyl
"Pig Destroyer - 38 Counts Of Battery 12""",Pig Destroyer,38 Counts Of Battery,Vinyl,Red w/ Smoke 2023 press
"Witch Vomit - Abhorrent Rapture 12""",Witch Vomit,Abhorrent Rapture,Vinyl,Gray/Red/Black Merge 1st press vinyl
"Coprolith - Demo 12""",Coprolith,Demo,Vinyl,Black 2024 press vinyl
