description,artist,album,format,extra
"Impious Havoc ""At the Ruins of the Holy Kingdom"" MC | Cassette",Impious Havoc,At the Ruins of the Holy Kingdom,Cassette,
"Erzfeynd ""Muspilli"" Slipcase MC | Cassette",Erzfeynd,Muspilli,Cassette,
"Virus of Koch ""Lux Et Veritas"" MC | Cassette",Virus of Koch,Lux Et Veritas,Cassette,
"Andrzej Zuławski ""Possession OST"" MC | Cassette",Andrzej Zuławski,Possession OST,Cassette,
"Omenfilth ""Devourer of the Seven Moons"" MC | Cassette",Omenfilth,Devourer of the Seven Moons,Cassette,
"Eclipsus ""Sullen.Euphoria"" MC | Cassette",Eclipsus,Sullen.Euphoria,Cassette,
"Cisterna ""Festin De Cieno"" MC | Cassette",Cisterna,Festin De Cieno,Cassette,
"Vanyar ""March Rehearsal"" Demo | Cassette",Vanyar,March Rehearsal,Cassette,
"Mirk ""Of Spirit And Blood"" Demo (Asgard Musik) | Cassette",Mirk,Of Spirit And Blood,Cassette,
"Codex Daemonicum ""Doctrines of the Fallen"" MC | Cassette",Codex Daemonicum,Doctrines of the Fallen,Cassette,
"Hellwitch ""Transgressive Sentience - Demo 1986"" Demo | Cassette",Hellwitch,Transgressive Sentience - Demo 1986,Cassette,
"Hellwitch ""Syzygial Miscreancy"" MC | Cassette",Hellwitch,Syzygial Miscreancy,Cassette,
"Angrrsth / Czort ""W Czeluść"" Split MC | Cassette",Angrrsth / Czort,W Czeluść,Cassette,
"Ispenss ""Entropy Descending"" Demo | Cassette",Ispenss,Entropy Descending,Cassette,
"Godkiller ""We Are The Black Knights"" MC | Cassette",Godkiller,We Are The Black Knights,Cassette,
"Whispers Unhallowed ""Book 4"" MC | Cassette",Whispers Unhallowed,Book 4,Cassette,
"Cemetery Lights ""Consumption"" MC | Cassette",Cemetery Lights,Consumption,Cassette,
"Hades ""...Again Shall Be"" MC (NWN Edition) | Cassette",Hades,...Again Shall Be,Cassette,
"Pyreficativm ""संसार का पथ"" MC | Cassette",Pyreficativm,संसार का पथ,Cassette,
"Under the Church ""Total Burial"" MC | Cassette",Under The Church,Total Burial,Cassette,
"Dobhar Chú ""Aislingí An Gheimhridh"" MC | Cassette",Dobhar Chú,Aislingí An Gheimhridh,Cassette,
