"Carnage ""The Day Man Lost / Infestation of Evil"" LP",Carnage,The Day Man Lost / Infestation of Evil,Vinyl,
"Catasexual Urge Motivation ""The Encyclopedia Of Serial Murders"" DLP",Catasexual Urge Motivation,The Encyclopedia Of Serial Murders,Vinyl,
"Dysentery ""Brings Me No Tears"" LP",Dysentery,Brings Me No Tears,Vinyl,
"Rotting Flesh ""Mesologic Colliquative Effects Upon The Chronothanatognosis Methods Compendium"" LP",Rotting Flesh,Mesologic Colliquative Effects Upon The Chronothanatognosis Methods Compendium,Vinyl,
"Verglas ""Apparitions"" tape",Verglas,Apparitions,Cassette,
"Desastrious ""Loekr Inn Niflheim"" tape",Desastrious,Loekr Inn Niflheim,Cassette,
"Cthulhu ""Hallucinations in The Colour Out of Space"" CD",Cthulhu,Hallucinations in The Colour Out of Space,CD,
"Eagle's Nest ""A Legacy Reborn...Forever Written In Blood"" CD",Eagle's Nest,A Legacy Reborn...Forever Written In Blood,CD,
"Nortfalke ""Moonjeie"" CD",NORTFALKE,Moonjeie,CD,
"Wyvern ""Drakendoder"" CD",Wyvern,Drakendoder,CD,
"Lugubre ""Chaoskult (Hymns of Destruction)"" CD",Lugubre,Chaoskult (Hymns of Destruction),CD,
"Hamergilde ""Weerwolf"" CD",Hamergilde,Weerwolf,CD,
"Pentagram ‎""Livin' In A Ram's Head"" 7""",Pentagram,Livin' In A Ram's Head,Vinyl,
"Manilla Road ""The Circus Maximus"" DLP",Manilla Road,The Circus Maximus,Vinyl,
"Arbor ""Promo '24"" tape",Arbor,Promo '24,Cassette,
"Gauntlet Ring ""Promo Tape ‘24"" tape",Gauntlet Ring,Promo Tape ‘24,Cassette,
"Order From Chaos ""An Ending in Fire"" LP",Order From Chaos,An Ending in Fire,Vinyl,
"Order From Chaos ""Dawn Bringer"" LP",Order From Chaos,Dawn Bringer,Vinyl,
"Order From Chaos ""Stillbirth Machine"" LP",Order From Chaos,Stillbirth Machine,Vinyl,
"Cirrhus ""Unimpeachable Madness"" tape",Cirrhus,Unimpeachable Madness,Cassette,
"Bone Awl ""By Ropes Through Dirt"" LP",Bone Awl,By Ropes Through Dirt,Vinyl,
"Golem / Nauseous Surgery ‎""Tetric / The Monger Desire"" split CD",Golem / Nauseous Surgery,Tetric / The Monger Desire,CD,
"Rostorchester ""Der Zinnen Sang vom Niedergang"" LP",Rostorchester,Der Zinnen Sang vom Niedergang,Vinyl,
"Eisenwinter / Wehrhammer ""Uralt im Hass"" split LP",Eisenwinter / Wehrhammer,Uralt im Hass,Vinyl,
"Jim Kirkwood ""Uruk-Hai"" LP",JIM KIRKWOOD,Uruk-Hai,Vinyl,
"Jim Kirkwood ""King of the Golden Hall"" LP",JIM KIRKWOOD,King of the Golden Hall,Vinyl,
"Jim Kirkwood ""Where Shadows Lie"" LP",JIM KIRKWOOD,Where Shadows Lie,Vinyl,
"Arbor ""Behold… The Age of Pagan Blood"" CD",Arbor,Behold… The Age of Pagan Blood,CD,
"Atheosophia ‎""Shadowgate Of Winter’s Spirit"" CD",Atheosophia,Shadowgate Of Winter’s Spirit,CD,
"Warlord ""Deliver Us"" LP + 7""",Warlord,Deliver Us,Vinyl,
"Furdidurke ""Furdidurke"" tape",Furdidurke,Furdidurke,Cassette,
"Grausamkeit ""Splits & B-Sides"" tape",Grausamkeit,Splits & B-Sides,Cassette,
"Grave Pilgrim ""The Bigotry of Purpose"" CD",GRAVE PILGRIM,The Bigotry of Purpose,CD,
"Grave Pilgrim ""Molten Hands Reach West"" CD",GRAVE PILGRIM,Molten Hands Reach West,CD,
"Corneus ""Des Gehörnten Saat / Teufelschmand"" LP",Corneus,Des Gehörnten Saat / Teufelschmand,Vinyl,
"Grausamkeit ""Splits & B-Sides"" LP",Grausamkeit,Splits & B-Sides,Vinyl,
"Mysteries ""In The Dark And Sodomy"" LP",Mysteries,In The Dark And Sodomy,Vinyl,
"Mysteries ""Promo '94"" LP",Mysteries,Promo '94,Vinyl,
"Heavy Load ""Riders Of The Ancient Storm"" CD",Heavy Load,Riders Of The Ancient Storm,CD,
"Dragonne ""On Dragon's Wings"" LP",Dragonne,On Dragon's Wings,Vinyl,
"Medieval Steel ""Medieval Steel"" LP",Medieval Steel,Medieval Steel,Vinyl,
"Omega ""The Prophet"" LP",Omega,The Prophet,Vinyl,
"Sortilège ""Métamorphose"" LP",Sortilège,Métamorphose,Vinyl,
"Sortilège ""Sortilège"" LP",Sortilège,Sortilège,Vinyl,
"Warlord ""The Holy Empire"" LP + 10""",Warlord,The Holy Empire,Vinyl,
"Warlord ""Rising Out of the Ashes"" LP + 7""",Warlord,Rising Out of the Ashes,Vinyl,
"Warlord ""And The Cannons Of Destruction Have Begun..."" LP",Warlord,And The Cannons Of Destruction Have Begun...,Vinyl,
"Warlord ""Live in Athens 2013"" 2CD",Warlord,Live in Athens 2013,CD,
"Warlord ""The Holy Empire"" 2CD",Warlord,The Holy Empire,CD,
"Warlord ""Rising Out Of The Ashes"" 2CD",Warlord,Rising Out of the Ashes,CD,
"Warlord ""And The Cannons Of Destruction Have Begun..."" CD",Warlord,And The Cannons Of Destruction Have Begun...,CD,
"Warlord ""Deliver Us"" 2CD",Warlord,Deliver Us,CD,
"Lordian Guard ""Sinners in the Hands of an Angry God"" 2CD",Lordian Guard,Sinners in the Hands of an Angry God,CD,
"Gauntlet Ring ""Upon the Wings of the Black Eagle"" CD",Gauntlet Ring,Upon the Wings of the Black Eagle,CD,
"Fellwinter ""Night of the Blood"" CD",Fellwinter,Night of the Blood,CD,
