description,artist,album,format,extra
Aoratos | Gods Without Name | /category/261,Aoratos,Gods Without Name,Vinyl,
Arkona | Age Of Capricorn | /category/26,Arkona,Age Of Capricorn,CD,
In The Woods... | Cease The Day | /category/26,In The Woods...,Cease The Day,CD,
Archgoat | The Luciferian Crown | /category/261,Archgoat,The Luciferian Crown,Vinyl,
Akhlys | The Dreaming I (DMP 20-year anniversary edition) | /category/263,Akhlys,The Dreaming I,Vinyl,DMP 20-year anniversary edition
Pestifer | Defeat Of The Nemesis | /category/261,Pestifer,DEFEAT OF THE NEMESIS,Vinyl,
Terra Tenebrosa | The Reverses | /category/26,Terra Tenebrosa,The Reverses,CD,
Pestilength | Solar Clorex | /category/261,Pestilength,Solar Clorex,Vinyl,
Cultus Profano | Accursed Possession (red / milky merge) | /category/261,Cultus Profano,Accursed Possession,Vinyl,red / milky merge
Light of the Morning Star | Charnel Noir | /category/26,Light of the Morning Star,Charnel Noir,CD,
Blut Aus Nord | Disharmonium - Undreamable Abysses | /category/26,Blut Aus Nord,Disharmonium - Undreamable Abysses,CD,
Ulcerate | Stare Into Death And Be Still | /category/26,Ulcerate,Stare Into Death And Be Still,CD,
Power From Hell | Shadows Devouring Light | /category/26,Power From Hell,Shadows Devouring Light,CD,
Pure Wrath | Hymn To The Woeful Hearts | /category/26,Pure Wrath,Hymn To The Woeful Hearts,CD,
Blut Aus Nord | Codex Obscura Nomina | /category/26,Blut Aus Nord,Codex Obscura Nomina,CD,
Lychgate | Thus sprach Futura | /category/250,Lychgate,Thus sprach Futura,Vinyl,
Dodsengel | Bab Al On | /category/263,Dodsengel,Bab Al On,Vinyl,
Akhlys | Melinoë | /category/26,Akhlys,Melinoë,CD,
Death Fetishist | Clandestine Sacrament | /category/26,Death Fetishist,Clandestine Sacrament,CD,
Cultus Profano | Accursed Possession | /category/26,Cultus Profano,Accursed Possession,CD,
Light of the Morning Star | Charnel Noir | /category/261,Light of the Morning Star,Charnel Noir,Vinyl,
Aara | Triade II: Hemera (half/half effect) | /category/261,Aara,Triade II: Hemera,Vinyl,half/half effect
Perilaxe Occlusion | Vapor Chamber | /category/303,Perilaxe Occlusion,VAPOR CHAMBER,Cassette,
Anarkhon | Phantasmagorical Personification Of The Death Temple | /category/261,Anarkhon,Phantasmagorical Personification Of The Death Temple,Vinyl,
Aara | Triade I: Eos (special edition) | /category/26,Aara,Triade I: Eos,CD,special edition
Waidelotte | Celestial Shrine | /category/261,Waidelotte,Celestial Shrine,Vinyl,
Insect Ark | Raw Blood Singing | /category/26,Insect Ark,Raw Blood Singing,CD,
Archgoat | Worship The Eternal Darkness (special edition) | /category/26,Archgoat,Worship The Eternal Darkness,CD,special edition
Plebeian Grandstand | Rien ne suffit | /category/26,Plebeian Grandstand,Rien ne suffit,CD,
Aara | Triade I: Eos | /category/26,Aara,Triade I: Eos,CD,
Archgoat | Worship The Eternal Darkness (black vinyl) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,black vinyl
Tenebrae In Perpetuum | Anorexia Obscura | /category/26,Tenebrae In Perpetuum,Anorexia Obscura,CD,
White Ward | False Light | /category/263,White Ward,FALSE LIGHT,Vinyl,
Behexen | From The Devil's Chalice | /category/26,Behexen,From The Devil's Chalice,CD,
Behexen | My Soul For His Glory | /category/26,Behexen,My Soul For His Glory,CD,
Aara | Anthropozän (black/oxblood) | /category/251,Aara,Anthropozän,Vinyl,black/oxblood
Bacchus | II (DMP exclusive) | /category/261,Bacchus,II,Vinyl,DMP exclusive
Dirge | Lost Empyrean | /category/26,Dirge,Lost Empyrean,CD,
The Lovecraft Sextet | Miserere | /category/26,The Lovecraft Sextet,Miserere,CD,
The Amenta | Solipschism | /category/251,The Amenta,Solipschism,Vinyl,
Ulcerate | Cutting the Throat of God | /category/26,Ulcerate,Cutting the Throat of God,CD,
The Amenta | Revelator (US exclusive) | /category/263,The Amenta,Revelator,Vinyl,US exclusive
Archgoat | Worship The Eternal Darkness | /category/26,Archgoat,Worship The Eternal Darkness,CD,
Selbst | Despondency Chord Progressions | /category/26,Selbst,Despondency Chord Progressions,CD,
White Ward | Love Exchange Failure | /category/26,White Ward,LOVE EXCHANGE FAILURE,CD,
Pestifer | Defeat Of The Nemesis | /category/26,Pestifer,DEFEAT OF THE NEMESIS,CD,
Imperial Crystalline Entombment | Apocalyptic End In White | /category/26,Imperial Crystalline Entombment,Apocalyptic End In White,CD,
Godkiller | We Are The Black Knights | /category/26,Godkiller,We Are The Black Knights,CD,
Imperial Crystalline Entombment | Apocalyptic End In White | /category/303,Imperial Crystalline Entombment,Apocalyptic End In White,Cassette,
Dodsengel | Bab Al On | /category/26,Dodsengel,Bab Al On,CD,
Aara | Triade II: Hemera (galaxy effect) | /category/261,Aara,Triade II: Hemera,Vinyl,galaxy effect
Horna / Behexen | Split | /category/26,Horna / Behexen,Split,CD,
Au Champ Des Morts | Dans La Joie | /category/26,Au Champ Des Morts,Dans La Joie,CD,
Bacchus | II | /category/261,Bacchus,II,Vinyl,
Eitrin | S/T (DMP Exclusive) | /category/26,Eitrin,S/T,CD,DMP Exclusive
Blut Aus Nord | ​Disharmonium - Nahab (black vinyl) | /category/261,Blut Aus Nord,​Disharmonium - Nahab,Vinyl,black vinyl
Archgoat | The Light-Devouring Darkness | /category/261,Archgoat,The Light-Devouring Darkness,Vinyl,
Perilaxe Occlusion | Vapor Chamber | /category/263,Perilaxe Occlusion,VAPOR CHAMBER,Vinyl,
Pestilent Hex | The Ashen Abhorrence | /category/261,Pestilent Hex,The Ashen Abhorrence,Vinyl,
White Ward | False Light | /category/263,White Ward,FALSE LIGHT,Vinyl,
Modern Rites | Monuments | /category/261,Modern Rites,Monuments,Vinyl,
Blut Aus Nord | Hallucinogen | /category/26,Blut Aus Nord,HALLUCINOGEN,CD,
Aversio Humanitatis | Behold The Silent Dwellers | /category/261,Aversio Humanitatis,Behold The Silent Dwellers,Vinyl,
