description,artist,album,format,extra
Aara | Anthropozän (black/oxblood) | /category/251,Aara,Anthropozän,Vinyl,black/oxblood
Aara | En Ergô Einai | /category/26,Aara,En Ergô Einai,CD,
Aara | Triade I: Eos | /category/26,Aara,Triade I: Eos,CD,
Aara | Triade I: Eos | /category/261,Aara,Triade I: Eos,Vinyl,
Aara | Triade I: Eos (black vinyl) | /category/261,Aara,Triade I: Eos,Vinyl,black vinyl
Aara | Triade I: Eos (special edition) | /category/26,Aara,Triade I: Eos,CD,special edition
Aara | Triade II: Hemera | /category/261,Aara,Triade II: Hemera,Vinyl,
Aara | Triade II: Hemera | /category/26,Aara,Triade II: Hemera,CD,
Aara | Triade II: Hemera (galaxy effect) | /category/261,Aara,Triade II: Hemera,Vinyl,galaxy effect
Aara | Triade II: Hemera (half/half effect) | /category/261,Aara,Triade II: Hemera,Vinyl,half/half effect
Aara | Triade II: Hemera (special edition) | /category/26,Aara,Triade II: Hemera,CD,special edition
Aara | Triade III: Nyx | /category/261,Aara,Triade III: Nyx,Vinyl,
Aara | Triade III: Nyx (special edition) | /category/26,Aara,Triade III: Nyx,CD,special edition
Akhlys | House of the Black Geminus | /category/263,Akhlys,House of the Black Geminus,Vinyl,
Akhlys | House of the Black Geminus | /category/26,Akhlys,House of the Black Geminus,CD,
Akhlys | House of the Black Geminus | /category/303,Akhlys,House of the Black Geminus,Cassette,
Akhlys | House of the Black Geminus (DMP Exclusive) | /category/263,Akhlys,House of the Black Geminus,Vinyl,DMP Exclusive
Akhlys | Melinoë | /category/26,Akhlys,Melinoë,CD,
Akhlys | Melinoë (Yellow merge) | /category/261,Akhlys,Melinoë,Vinyl,Yellow merge
Akhlys | The Dreaming I | /category/26,Akhlys,The Dreaming I,CD,
Akhlys | The Dreaming I | /category/263,Akhlys,The Dreaming I,Vinyl,
Akhlys | The Dreaming I (DMP 20-year anniversary edition) | /category/263,Akhlys,The Dreaming I,Vinyl,DMP 20-year anniversary edition
Anarkhon | Obiasot Dwybat Ptnotun | /category/261,Anarkhon,Obiasot Dwybat Ptnotun,Vinyl,
Anarkhon | Obiasot Dwybat Ptnotun | /category/26,Anarkhon,Obiasot Dwybat Ptnotun,CD,
Anarkhon | Obiasot Dwybat Ptnotun (DMP Exclusive) | /category/261,Anarkhon,Obiasot Dwybat Ptnotun,Vinyl,DMP Exclusive
Anarkhon | Phantasmagorical Personification Of The Death Temple | /category/261,Anarkhon,Phantasmagorical Personification Of The Death Temple,Vinyl,
Anarkhon | Phantasmagorical Personification Of The Death Temple | /category/26,Anarkhon,Phantasmagorical Personification Of The Death Temple,CD,
Aoratos | Gods Without Name | /category/261,Aoratos,Gods Without Name,Vinyl,
Archgoat | All Christianity Ends | /category/261,Archgoat,All Christianity Ends,Vinyl,
Archgoat | All Christianity Ends (spinner effect) | /category/261,Archgoat,All Christianity Ends,Vinyl,spinner effect
Archgoat | Angelcunt (Tales Of Desecration) | /category/261,Archgoat,Angelcunt,Vinyl,Tales Of Desecration
Archgoat | Black Mass XXX | /category/26,Archgoat,Black Mass XXX,CD,
Archgoat | Black Mass XXX | /category/263,Archgoat,Black Mass XXX,Vinyl,
Archgoat | The Apocalyptic Triumphator | /category/261,Archgoat,The Apocalyptic Triumphator,Vinyl,
Archgoat | The Light-Devouring Darkness | /category/261,Archgoat,The Light-Devouring Darkness,Vinyl,
Archgoat | The Luciferian Crown | /category/261,Archgoat,The Luciferian Crown,Vinyl,
Archgoat | Whore Of Bethlehem | /category/261,Archgoat,Whore Of Bethlehem,Vinyl,
Archgoat | Worship The Eternal Darkness | /category/26,Archgoat,Worship The Eternal Darkness,CD,
Archgoat | Worship The Eternal Darkness (black vinyl) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,black vinyl
Archgoat | Worship The Eternal Darkness (special edition) | /category/26,Archgoat,Worship The Eternal Darkness,CD,special edition
Archgoat | Worship The Eternal Darkness (spinner effect) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,spinner effect
Archgoat | Worship The Eternal Darkness (ultra clear w/ splatters) | /category/261,Archgoat,Worship The Eternal Darkness,Vinyl,ultra clear w/ splatters
Arkona | Age Of Capricorn | /category/26,Arkona,Age Of Capricorn,CD,
Arkona | Age Of Capricorn | /category/261,Arkona,Age Of Capricorn,Vinyl,
Arkona | Lunaris | /category/26,Arkona,Lunaris,CD,
Au Champ Des Morts | Dans La Joie | /category/26,Au Champ Des Morts,Dans La Joie,CD,
Aversio Humanitatis | Behold The Silent Dwellers | /category/26,Aversio Humanitatis,Behold The Silent Dwellers,CD,
Aversio Humanitatis | Behold The Silent Dwellers | /category/261,Aversio Humanitatis,Behold The Silent Dwellers,Vinyl,
Aversio Humanitatis | Longing for the Untold | /category/261,Aversio Humanitatis,Longing for the Untold,Vinyl,
Aversio Humanitatis | Longing for the Untold (DMP exclusive) | /category/261,Aversio Humanitatis,Longing for the Untold,Vinyl,DMP exclusive
Bacchus | II | /category/303,Bacchus,II,Cassette,
Bacchus | II | /category/261,Bacchus,II,Vinyl,
Bacchus | II | /category/26,Bacchus,II,CD,
Bacchus | II (DMP exclusive) | /category/261,Bacchus,II,Vinyl,DMP exclusive
Behexen | From The Devil's Chalice | /category/26,Behexen,From The Devil's Chalice,CD,
Behexen | My Soul For His Glory | /category/26,Behexen,My Soul For His Glory,CD,
Behexen | Rituale Satanum | /category/26,Behexen,Rituale Satanum,CD,
Behexen | Rituale Satanum | /category/261,Behexen,Rituale Satanum,Vinyl,
Behexen | The Poisonous Path | /category/263,Behexen,The Poisonous Path,Vinyl,
Blut Aus Nord | 777 - The Desanctification | /category/26,Blut Aus Nord,777 - The Desanctification,CD,
Blut Aus Nord | Codex Obscura Nomina | /category/26,Blut Aus Nord,Codex Obscura Nomina,CD,
Blut Aus Nord | Deus Salutis Meae | /category/261,Blut Aus Nord,Deus Salutis Meae,Vinyl,
Blut Aus Nord | ​Disharmonium - Nahab | /category/26,Blut Aus Nord,​Disharmonium - Nahab,CD,
Blut Aus Nord | ​Disharmonium - Nahab (black vinyl) | /category/261,Blut Aus Nord,​Disharmonium - Nahab,Vinyl,black vinyl
Blut Aus Nord | ​Disharmonium - Nahab (galaxy effect) | /category/261,Blut Aus Nord,​Disharmonium - Nahab,Vinyl,galaxy effect
Blut Aus Nord | Disharmonium - Undreamable Abysses | /category/26,Blut Aus Nord,Disharmonium - Undreamable Abysses,CD,
Blut Aus Nord | Hallucinogen | /category/26,Blut Aus Nord,HALLUCINOGEN,CD,
Blut Aus Nord | Memoria Vetusta I | /category/26,Blut Aus Nord,Memoria Vetusta I,CD,
Blut Aus Nord | Memoria Vetusta I | /category/261,Blut Aus Nord,Memoria Vetusta I,Vinyl,
Blut Aus Nord | Memoria Vetusta II - Dialogue With The Stars | /category/26,Blut Aus Nord,Memoria Vetusta II - Dialogue With The Stars,CD,
Blut Aus Nord | Memoria Vetusta II - Dialogue With The Stars | /category/263,Blut Aus Nord,Memoria Vetusta II - Dialogue With The Stars,Vinyl,
Blut Aus Nord | Memoria Vetusta III - Saturnian Poetry | /category/261,Blut Aus Nord,Memoria Vetusta III - Saturnian Poetry,Vinyl,
Blut Aus Nord | Triunity | /category/26,Blut Aus Nord,Triunity,CD,
Blut Aus Nord | Ultima Thulée | /category/26,Blut Aus Nord,Ultima Thulée,CD,
Blut Aus Nord | Ultima Thulée (black vinyl) | /category/261,Blut Aus Nord,Ultima Thulée,Vinyl,black vinyl
Blut Aus Nord | Ultima Thulée (cloudy effect) | /category/261,Blut Aus Nord,Ultima Thulée,Vinyl,cloudy effect
Blut Aus Nord | What Once Was... Liber I | /category/26,Blut Aus Nord,What Once Was... Liber I,CD,
