description,artist,album,format,extra
USED - Barishi - Blood From The Lion's Mouth LP,Barishi,Blood From The Lion's Mouth,Vinyl,Black 2020 press vinyl
USED - Seth - La Morsure du Christ 2xLP,eth,La Morsure du Christ,Vinyl,Black 2021 press vinyl
USED - Spire - Temple Of Khronos LP,pire,Temple Of Khronos,Vinyl,Black 2021 press vinyl
"USED - Superstition - Surging Throng Of Evil's Might 12""",uperstition,Surging Throng Of Evil's Might,Vinyl,Black 2018 press vinyl
USED - Thecodontion - Supercontinent LP,Thecodontion,Supercontinent,Vinyl,Black 2020 press vinyl
USED - Transcendence - Towards Obscurities Beyond LP,TRANSCENDENCE,Towards Obscurities Beyond,Vinyl,Green 2020 press vinyl
USED - Wode – Burn In Many Mirrors LP,Wode,Burn In Many Mirrors,Vinyl,Black 2021 press vinyl
"Mausoleum / Anatomia - Split 12""",Mausoleum / Anatomia,Split,Vinyl,Black 1st press vinyl
"Mausoleum / Anatomia - Split 12""",Mausoleum / Anatomia,Split,Vinyl,Creeping Fog 1st press vinyl
"Killing Pace - S/T 12""",Killing Pace,S/T,Vinyl,Red Cloudy 2022 press
"Killing Pace - S/T 12""",Killing Pace,S/T,Vinyl,Red/Black Swirl 2022 press
Caged - Stricken By Continuance LP,Caged,Stricken By Continuance,Vinyl,Custom Half/Half w/ Splatter 2021 press
Caged - Stricken By Continuance LP,Caged,Stricken By Continuance,Vinyl,Black-In-Clear w/ Splatter 2021 press
Spectral Lore - Gnosis 2xLP,Spectral Lore,Gnosis,Vinyl,Distributor Exclusive 2023 press
USED - Phobocosm - Bringer Of Drought LP,Phobocosm,Bringer Of Drought,Vinyl,Black 2016 press vinyl
USED - Lantern - Dimensions LP,Lantern,Dimensions,Vinyl,Black 2019 press vinyl
USED - Void Rot - Descending Pillars LP,Void Rot,Descending Pillars,Vinyl,Black 2020 press vinyl
Every Time I Die - Gutter Phenomenon LP,Every Time I Die,Gutter Phenomenon,Vinyl,Tri-color 2023 press
Every Time I Die - Gutter Phenomenon LP,Every Time I Die,Gutter Phenomenon,Vinyl,Split Color 2023 press
BLEMISH - Eyehategod - 10 Years Of Abuse (And Still Broke) 2xLP,BLEMISH,Eyehategod - 10 Years Of Abuse (And Still Broke),Vinyl,Green w/ Splatter 2021 press
USED - Fawn Limbs - Sleeper Vessels LP,Fawn Limbs,Sleeper Vessels,Vinyl,Orange w/ Swirl 2020 press
USED - Entombed - Left Hand Path LP,ntombed,Left Hand Path,Vinyl,Black FDR 2017 press
USED - Ekulu - Unscrew My Head LP,kulu,Unscrew My Head,Vinyl,Black 2022 press vinyl
"USED - Isis - Mosquito Control 12""",Isis,Mosquito Control,Vinyl,Black 2018 press vinyl
"Godless - Ecce Homo: Post Lux Tenebras, Pulsio XIII Ultima Ratio LP",Godless,"Ecce Homo: Post Lux Tenebras, Pulsio XIII Ultima Ratio",Vinyl,Black 2010 press vinyl
USED - Concilium - Desecration LP,Concilium,Desecration,Vinyl,Black 2021 press vinyl
USED - Ænigmatum - Deconsecrate LP,ÆNIGMATUM,Deconsecrate,Vinyl,Color-In-Color w/ Splatter 2021 press
USED - Artificial Brain - Artificial Brain LP,Artificial Brain,Artificial Brain,Vinyl,Black 2022 press vinyl
USED - Ceremony Of Silence - Oútis LP,Ceremony Of SIlence,Oútis,Vinyl,Random Mixed 2019 press
USED - Come To Grief - When The World Dies LP,Come To Grief,When The World Dies,Vinyl,Oxblood 2022 press vinyl
USED - Undeath - Lesions Of A Different Kind LP,ndeath,Lesions Of A Different Kind,Vinyl,Black 2020 press vinyl
USED - Venom Prison - Primeval LP,Venom Prison,Primeval,Vinyl,Green w/ Splatter 2020 press
USED - Venom Prison - Samsara LP,Venom Prison,Samsara,Vinyl,White 2019 press vinyl
Celestial Sword / Erzfeynd - Split LP,Celestial Sword / Erzfeynd,Split,Vinyl,Black 2022 press vinyl
I Shot The Duck Hunt Dog – Epic Fail / Ninstrumentalism LP,I Shot The Duck Hunt Dog,Epic Fail / Ninstrumentalism,Vinyl,Cyan Blue 2023 press
Erdve - Vaitojimas LP,Erdve,Vaitojimas,Vinyl,Black 2018 press vinyl
Erdve - Vaitojimas LP,Erdve,Vaitojimas,Vinyl,Clear 2018 press vinyl
USED - Crypt Rot - Embryonic Devils LP,Crypt Rot,Embryonic Devils,Vinyl,Black 2017 press vinyl
USED - Do Skonu – The Grand Awakening Among The Great Sleep LP,o Skonu,The Grand Awakening Among The Great Sleep,Vinyl,Black 2016 press vinyl (lim/300)
