description,artist,album,format,extra
"Sort Vokter ""Folkloric Necro Metal"" LP (AKA ildjarn) | Vinyl",Sort Vokter,Folkloric Necro Metal,Vinyl,
"Deathless Void ""Deathless Void"" LP | Vinyl",Deathless Void,Deathless Void,Vinyl,
"Cemetery Lights ""Consumption"" CD | CD",Cemetery Lights,Consumption,CD,
"Weregoat / Eggs of Gomorrh ""Orgiastic Rape of Resurrected Remains"" LP | Vinyl",Weregoat / Eggs of Gomorrh,Orgiastic Rape of Resurrected Remains,Vinyl,
"Bunker 66 / Lucifuge ""Of Night and Lust"" Split LP | Vinyl",Bunker 66 / Lucifuge,Of Night and Lust,Vinyl,
"Saturnalia Temple ""To The Other"" LP | Vinyl",Saturnalia Temple,To The Other,Vinyl,
"Impious Havoc ""At the Ruins of the Holy Kingdom"" MC | Cassette",Impious Havoc,At the Ruins of the Holy Kingdom,Cassette,
"Lugubrum ""De Zuivering"" LP | Vinyl",Lugubrum,De Zuivering,Vinyl,
"Phlegethon's Majesty / Gouffre Split 7"" | Vinyl",,,,
"Sorcery ""Sinister Soldiers"" Double LP | Vinyl",Sorcery,Sinister Soldiers,Vinyl,
"Erzfeynd ""Muspilli"" Slipcase MC | Cassette",Erzfeynd,Muspilli,Cassette,
"Koldborn ""The Devil of All Deals"" 10"" | Vinyl",Koldborn,The Devil of All Deals,Vinyl,
"Zoldier Noiz ""Merci"" CD | CD",Zoldier Noiz,Merci,CD,
"Virus of Koch ""Lux Et Veritas"" MC | Cassette",Virus of Koch,Lux Et Veritas,Cassette,
"Front Beast ""Ars Satanic Ex Tempus"" 7"" | Vinyl",Front Beast,Ars Satanic Ex Tempus,Vinyl,
"Vort ""Demo"" 7"" | Vinyl",Vort,Demo,Vinyl,
"Andrzej Zuławski ""Possession OST"" MC | Cassette",Andrzej Zuławski,Possession OST,Cassette,
"Furnace Floor ""Furnace Floor"" CD | CD",Furnace Floor,Furnace Floor,CD,
"Omenfilth ""Devourer of the Seven Moons"" MC | Cassette",Omenfilth,Devourer of the Seven Moons,Cassette,
"Graves ""Liturgia da Blasfemia"" CD | CD",Graves,Liturgia da Blasfemia,CD,
"Eclipsus ""Sullen.Euphoria"" MC | Cassette",Eclipsus,Sullen.Euphoria,Cassette,
"Celestia ""Delhÿs-cätess"" 10"" | Vinyl",Celestia,Delhÿs-cätess,Vinyl,
"Voodus ""Into the Wild"" Digipak CD | CD",Voodus,Into the Wild,CD,
"Lord Belial ""Revelation"" CD | CD",Lord Belial,Revelation,CD,
"Agrath ""The Fall of Mankind"" CD | CD",Agrath,The Fall of Mankind,CD,
"Strongblood ""Crooked Cross 2009"" LP | Vinyl",Strongblood,Crooked Cross 2009,Vinyl,
"Piarevaracień ""U pošukach pačatku tych šlachoŭ"" Digipak CD (Belarusian folk BM) | CD",Piarevaracień,U pošukach pačatku tych šlachoŭ,CD,
"Triangulum ""Triangulum"" LP | Vinyl",Triangulum,Triangulum,Vinyl,
"V/A ""Annihilation of the Antichrist"" Bootleg CD | CD",V/A,Annihilation of the Antichrist,CD,
"Cisterna ""Festin De Cieno"" MC | Cassette",Cisterna,Festin De Cieno,Cassette,
"Slave Agent ""Alternate Histories"" CD | CD",Slave Agent,Alternate Histories,CD,
"Goatblood (Australia) ""Supreme Triumph of Evil"" LP | Vinyl",Goatblood (Australia),Supreme Triumph of Evil,Vinyl,
"Empty Playground ""Make The Pain Go Away"" 7"" | Vinyl",Empty Playground,Make The Pain Go Away,Vinyl,
"Maniac ""Rainbows, Kittens, Flowers & Puppies"" LP | Vinyl",Maniac,"Rainbows, Kittens, Flowers & Puppies",Vinyl,
"Vanyar ""March Rehearsal"" Demo | Cassette",Vanyar,March Rehearsal,Cassette,
"Kareliaani ""Patriot"" Test Press 7"" | Vinyl",Kareliaani,Patriot,Vinyl,
"Mephistofeles ""A Path of Black"" MLP + Patch | Vinyl",Mephistofeles,A Path of Black,Vinyl,
Degredo / Cantos de Muerte Split LP | Vinyl,,,,
"Necronaut ""Necronaut"" CD | CD",Necronaut,Necronaut,CD,
"Mirk ""Of Spirit And Blood"" Demo (Asgard Musik) | Cassette",Mirk,Of Spirit And Blood,Cassette,
"Blood Duster / Brutal Truth ""First United Meth Church"" Split 7"" | Vinyl",Blood Duster / Brutal Truth,First United Meth Church,Vinyl,
"Codex Daemonicum ""Doctrines of the Fallen"" MC | Cassette",Codex Daemonicum,Doctrines of the Fallen,Cassette,
"Exermination Temple ""Lifeless Forms"" 7"" + Patch | Vinyl",Exermination Temple,Lifeless Forms,Vinyl,
"Grift ""Budet"" LP | Vinyl",Grift,Budet,Vinyl,
"Watain ""Casus Luciferi"" CD | CD",Watain,Casus Luciferi,CD,
"Akefal ""Opus Darkness"" CD | CD",Akefal,Opus Darkness,CD,
"Hellpreacher ""Resurrection"" 7"" (Cult TX Deathrash '86) | Vinyl",Hellpreacher,Resurrection,Vinyl,
"Hakaristi ""Hakaristi"" 7"" | Vinyl",Hakaristi,Hakaristi,Vinyl,
"Power From Hell ""The True Metal"" Digipak CD | CD",Power From Hell,The True Metal,CD,
"Ara Solis ""Ashvattha"" LP | Vinyl",Ara Solis,Ashvattha,Vinyl,
"Hellwitch ""Transgressive Sentience - Demo 1986"" Demo | Cassette",Hellwitch,Transgressive Sentience - Demo 1986,Cassette,
"Negative Plane ""Et In Saecula Saeculorum"" CD | CD",Negative Plane,Et In Saecula Saeculorum,CD,
"Mycelium ""Mycoticism: Disseminating the Propagules"" LP | Vinyl",Mycelium,Mycoticism: Disseminating the Propagules,Vinyl,
"Abusiveness ""Nad Grobem Ojcow"" 7"" | Vinyl",Abusiveness,Nad Grobem Ojcow,Vinyl,
"Hellish ""The Dance of the Four Elemental Serpents"" LP | Vinyl",Hellish,The Dance of the Four Elemental Serpents,Vinyl,
Saltas “Mors Salis – Opus I” LP (Irkallian Oracle/TFO) | Vinyl,Saltas,Mors Salis – Opus I,Vinyl,
"Anatomy ""Twisting Depths Of Horror"" Double LP | Vinyl",Anatomy,Twisting Depths Of Horror,Vinyl,
"Algaion ""Oimai Algeiou"" LP | Vinyl",Algaion,Oimai Algeiou,Vinyl,
"Necroblood / Psychomorphis ""The Lurking Horror / Amorphous Chaos"" Split LP | Vinyl",Necroblood / Psychomorphis,The Lurking Horror / Amorphous Chaos,Vinyl,
"Transmetal ""20 Años Ondeando la Bandera del Metal"" CD | CD",Transmetal,20 Años Ondeando la Bandera del Metal,CD,
"Nocturnal Breed ""Aggressor"" (La Cripta version) CD | CD",Nocturnal Breed,Aggressor,CD,
"Old Man's Child ""Slaves of The World"" LP | Vinyl",Old Man's Child,Slaves of The World,Vinyl,
"Disiecta Membrae ""Taedium Vitae"" CD | CD",Disiecta Membrae,Taedium Vitae,CD,
"Dead Dog's Howl ""Black Circle Transcendency"" Digipak CD | CD",Dead Dog's Howl,Black Circle Transcendency,CD,
"Marduk ""Fuck Me Jesus"" MLP | Vinyl",Marduk,Fuck Me Jesus,Vinyl,
"Vinterthron ""Reign ov Opposites"" LP | Vinyl",Vinterthron,Reign ov Opposites,Vinyl,
"NunSlaughter / Bloodsick Split Picture 7"" | Vinyl",,,,
"Gutricyde ""Gutricyde"" LP | Vinyl",Gutricyde,Gutricyde,Vinyl,
"Blood ""Inferno"" LP+CD | Vinyl",Blood,Inferno,Vinyl,
"Hellwitch ""Syzygial Miscreancy"" MC | Cassette",Hellwitch,Syzygial Miscreancy,Cassette,
"Angrrsth / Czort ""W Czeluść"" Split MC | Cassette",Angrrsth / Czort,W Czeluść,Cassette,
"Krater ""Nocebo"" Digipak CD | CD",Krater,Nocebo,CD,
"Divine Noise Attack ""Creating the End"" CD | CD",Divine Noise Attack,Creating the End,CD,
"Sadistik Exekution ""30 Years of Agonizing the Dead"" LP + 7"" | Vinyl",Sadistik Exekution,30 Years of Agonizing the Dead,Vinyl,
Gosudar / Malignant Altar Split LP | Vinyl,,,,
"Dämonenblut ""Im Schloß Des Finst'ren Grafen"" 7"" | Vinyl",Dämonenblut,Im Schloß Des Finst'ren Grafen,Vinyl,
"Upamsu ""Ajian Uleman Sang Peteng"" LP | Vinyl",Upamsu,Ajian Uleman Sang Peteng,Vinyl,
"Skald of Morgoth ""The Siege of Angband"" CD | CD",Skald of Morgoth,The Siege of Angband,CD,
"Crusher ""From the Core"" LP | Vinyl",Crusher,From the Core,Vinyl,
"Svartsyn ""Bloodline"" LP | Vinyl",Svartsyn,Bloodline,Vinyl,
"Ispenss ""Entropy Descending"" Demo | Cassette",Ispenss,Entropy Descending,Cassette,
"Cadaveric Fumes ""Echoing Chambers of Soul"" LP | Vinyl",Cadaveric Fumes,Echoing Chambers of Soul,Vinyl,
The Ruins of Beverast / Almyrkvi Split MC | CD,,,,
"Fjord ""Vor Tru"" CD | CD",Fjord,Vor Tru,CD,
"Godkiller ""We Are The Black Knights"" MC | Cassette",Godkiller,We Are The Black Knights,Cassette,
"Grave Upheaval ""Demo"" Red Vinyl MLP (1st Press Abysmal Sounds) | Vinyl",Grave Upheaval,Demo,Vinyl,
"Marduk ""Plague Angel"" CD | CD",Marduk,Plague Angel,CD,
"Immortal ""At the Heart of Winter"" LP | Vinyl",Immortal,At The Heart Of Winter,Vinyl,
"Old Sorcery ""Clandestine Meditation in Two Chapters"" Digipak CD | CD",Old Sorcery,Clandestine Meditation in Two Chapters,CD,
"Ptahil ""The Beast of Ptahil"" Double LP | Vinyl",Ptahil,The Beast of Ptahil,Vinyl,
"Whispers Unhallowed ""Book 4"" MC | Cassette",Whispers Unhallowed,Book 4,Cassette,
"Ancient Burial ""Beyond The Watchtowers"" LP | Vinyl",Ancient Burial,Beyond The Watchtowers,Vinyl,
"Disma ""Earthendium"" Holographic MLP | Vinyl",Disma,Earthendium,Vinyl,
"Aihos ""Hävityksen Maa"" CD | CD",Aihos,Hävityksen Maa,CD,
"Paimonia ""Disease Named Humanity"" CD | CD",Paimonia,Disease Named Humanity,CD,
"Cemetery Lights ""Consumption"" MC | Cassette",Cemetery Lights,Consumption,Cassette,
"Celestial Sword / Mortum ""The Citadel of Scarlet Lament"" Split LP | Vinyl",Celestial Sword / Mortum,The Citadel of Scarlet Lament,Vinyl,
"Rraaumm ""Here, Among The Stars"" LP | Vinyl",Rraaumm,"Here, Among The Stars",Vinyl,
"Moenen of Xezbeth / Obrok split 7"" | Vinyl",,,,
"Hades ""...Again Shall Be"" MC (NWN Edition) | Cassette",Hades,...Again Shall Be,Cassette,
"Kaaos ""Ei Enää Kipua Ei Tuskaa"" LP | Vinyl",Kaaos,Ei Enää Kipua Ei Tuskaa,Vinyl,
"Pyreficativm ""संसार का पथ"" MC | Cassette",Pyreficativm,संसार का पथ,Cassette,
"Netherdom ""Forsaking, Forseeking"" LP | Vinyl",Netherdom,"Forsaking, Forseeking",Vinyl,
"Wóddréa Mylenstede ""Cwylmendéaþ"" Digipak CD | CD",Wóddréa Mylenstede,Cwylmendéaþ,CD,
"Black Cilice ""Esoteric Atavism"" LP | Vinyl",Black Cilice,Esoteric Atavism,Vinyl,
"Valac ""Howls of Infinite Horror"" LP | Vinyl",Valac,Howls of Infinite Horror,Vinyl,
"Evil Spectrum / Uttertomb ""Heic Noenum Pax"" Split LP | Vinyl",Evil Spectrum / Uttertomb,Heic Noenum Pax,Vinyl,
"Absu ""The Sun of Tiphareth"" LP | Vinyl",Absu,The Sun of Tiphareth,Vinyl,
"Somrak ""The Blackwinged Serpent Crowned"" CD | CD",Somrak,The Blackwinged Serpent Crowned,CD,
"Dodheimsgard ""Monumental Possession"" LP | Vinyl",Dodheimsgard,Monumental Possession,Vinyl,
"V/A Thrash Metal Blitzkrieg Vol. 3 7"" | Vinyl",,,,
"Diocletian ""Annihilation Rituals"" CD | CD",Diocletian,Annihilation Rituals,CD,
"Inisans ""Transition"" CD | CD",Inisans,Transition,CD,
"Diabolical Principles / Dizziness ""Anno Tenebrae"" Split 7"" | Vinyl",Diabolical Principles / Dizziness,Anno Tenebrae,Vinyl,
"Sardonic Smile ""Wraith"" CD | CD",Sardonic Smile,Wraith,CD,
"Broken Bones ""A Single Decade"" Digipak CD | CD",Broken Bones,A Single Decade,CD,
"Majestic Ryte ""Majestic Ryte"" LP | Vinyl",Majestic Ryte,Majestic Ryte,Vinyl,
"Sol Evil ""Sanctum Satanas"" CD | CD",Sol Evil,Sanctum Satanas,CD,
"Korpituli ""Pohjola"" Digipak CD | CD",Korpituli,Pohjola,CD,
"Gauze ""言いたかねえけど目糞鼻糞"" CD | CD",Gauze,言いたかねえけど目糞鼻糞,CD,
"Under the Church ""Total Burial"" MC | Cassette",Under The Church,Total Burial,Cassette,
"Toxikull ""Cursed and Punished"" LP | Vinyl",Toxikull,Cursed and Punished,Vinyl,
"Morketsvind ""The Journey"" Digipak CD | CD",Morketsvind,The Journey,CD,
"Anciients ""Snakebeard"" 7"" | Vinyl",Anciients,Snakebeard,Vinyl,
"Allegiance ""Blodörnsoffer"" LP | Vinyl",Allegiance,Blodörnsoffer,Vinyl,
"Cynabare Urne ""Obsidian Daggers and Cinnabar Skulls"" LP | Vinyl",Cynabare Urne,Obsidian Daggers and Cinnabar Skulls,Vinyl,
"Mythic ""Anthology"" LP (1991-1993 All Female DM) | Vinyl",Mythic,Anthology,Vinyl,
"Necrotomy ""Inhuman Mankind"" CD | CD",Necrotomy,Inhuman Mankind,CD,
"Burning Winds ""Return to Hell"" CD | CD",Burning Winds,Return to Hell,CD,
"Orcrist ""Union of Evil"" CD | CD",Orcrist,Union of Evil,CD,
"Phantom ""Hell Has No Form"" 7"" | Vinyl",Phantom,Hell Has No Form,Vinyl,
"Thou Art Lord ""Diabolou Archaes Legeones"" CD | CD",Thou Art Lord,Diabolou Archaes Legeones,CD,
Sulphuric Night / Borda's Rope Split LP | Vinyl,,,,
"Decayed ""In Lustful Mayhem + Bonus"" Digipak CD | CD",Decayed,In Lustful Mayhem + Bonus,CD,
"Dark Quarterer ""Dark Quarterer"" LP | Vinyl",Dark Quarterer,Dark Quarterer,Vinyl,
"Amen Corner ""Darken in Quir Haresete"" CD | CD",Amen Corner,Darken in Quir Haresete,CD,
"Venom ""Live at Ijsselhal - Zwolle, Holland February 11, 1984"" CD | CD",Venom,"Live at Ijsselhal - Zwolle, Holland February 11, 1984",CD,
"Crime ""First Crime"" CD | CD",Crime,First Crime,CD,
"Crucifier ""Led Astray"" LP | Vinyl",Crucifier,Led Astray,Vinyl,
"Dobhar Chú ""Aislingí An Gheimhridh"" MC | Cassette",Dobhar Chú,Aislingí An Gheimhridh,Cassette,
"Malum ""Crowned with the Serpent Sun"" LP | Vinyl",Malum,Crowned with the Serpent Sun,Vinyl,
"Scorpions ""Best of the 70's Recordings"" LP | Vinyl",Scorpions,Best of the 70's Recordings,Vinyl,
"Order From Chaos ""Dawn Bringer"" CD | CD",Order From Chaos,Dawn Bringer,CD,
"Hurusoma ""Sombre Iconoclasm"" CD | CD",Hurusoma,Sombre Iconoclasm,CD,
"Slutet ""Bortom Vansinnets Grepp"" CD | Cassette",Slutet,Bortom Vansinnets Grepp,Cassette,
"Serpent Cobra ""Beware"" Digipak CD | CD",Serpent Cobra,Beware,CD,
"Meslamtaea ""New Era"" MC | Cassette",Meslamtaea,New Era,Cassette,
"Crucifier ""Coffins Through Time... A Mourning in Nazareth"" Double LP | Vinyl",Crucifier,Coffins Through Time... A Mourning in Nazareth,Vinyl,
"Burning Winds / Kerberos ""Apotheosis of War / Where Darkness Reigns"" Split LP | Vinyl",Burning Winds / Kerberos,Apotheosis of War / Where Darkness Reigns,Vinyl,
Grave Upheaval / The Funeral Orchestra Split LP | Vinyl,,,,
"Flauros ""Before My Eyes The New World Rose"" 7"" | Vinyl",Flauros,Before My Eyes The New World Rose,Vinyl,
"Embalm ""Prelude to Obscurity"" LP | Vinyl",Embalm,Prelude to Obscurity,Vinyl,
"Transmetal ""Las Alas del Emperador"" CD | CD",Transmetal,Las Alas del Emperador,CD,
"Totalt Jävla Mörker ""Söndra & Härska"" Digipak CD | CD",Totalt Jävla Mörker,Söndra & Härska,CD,
