description,artist,album,format,extra
"[SOLD OUT] NÄCHTLICH ""Nachtlich"" CD [Digipak]",NÄCHTLICH,Nachtlich,CD,[Digipak]
"[SOLD OUT] LEGENDRY ""Mists of Time / Dungeon Crawler"" 2xCD (w/ slipcase)",LEGENDRY,Mists of Time / Dungeon Crawler,CD,(w/ slipcase)
"[SOLD OUT] DEPRESSIVE SILENCE ""I"" Vinyl LP (grey/black swirl, lim.199)",Depressive Silence,I,Vinyl,"(grey/black swirl, lim.199)"
"OUT OF SEASON ""NEDSM Skull"" die-cut patch",,,,
"[SOLD OUT] WINDIR ""Soknardarl"" CD",Windir,Soknardarl,CD,
"[SOLD OUT] MALFET ""The Snaking Path"" CD [DVD Case]",Malfet,The Snaking Path,CD,[DVD Case]
"[SOLD OUT] BARAK TOR ""With Axe and Sword"" Tank Top Shirt",,,,
"[SOLD OUT] NANSARUNAI ""Ultimul Rege"" CD [Digipak]",Nansarunai,Ultimul Rege,CD,[Digipak]
"[SOLD OUT] WARPED SKULL ""Barbaric Chaos"" T-Shirt (Natural)",,,,
"[SOLD OUT] GRIMDOR ""Gold"" Patch",,,,
"[SOLD OUT] NACHTSTILLE ""The Inquisition of Death"" Cassette Tape",,,,
"[SOLD OUT] SUMMONING ""Let Mortal Heroes Sing Your Fame"" CD",SUMMONING,Let Mortal Heroes Sing Your Fame,CD,
"[SOLD OUT] FERNMAGE ""Brackenlore"" cassette tape (lim.50)",,,,
"[SOLD OUT] V/A ""Grime Stone Records Dungeon Synth Compilation"" 4xCD (Lim. 50)",V/A,Grime Stone Records Dungeon Synth Compilation,CD,(Lim. 50)
"[SOLD OUT] PALLID BLOOD ""Flesh Eviction"" Cassette Tape",,,,
"[SOLD OUT] MIDLUND ""A Humble Journey"" Cassette Tape",,,,
"[SOLD OUT] ELFFOR ""Gloomy Roots of Doom"" 2xCD",Elffor,Gloomy Roots of Doom,CD,
"[SOLD OUT] QUEST MASTER / GRAVES OF EDEN Split 7"" Vinyl (lim. 150, color)",,,,
"[SOLD OUT] CRIECZIEL ""Caverns Under the Wetland"" Cassette Tape",,,,
"[SOLD OUT] TREASURE SEEKER ""Quest for the Secrets Beyond Time"" CD (Lim. 100) [Digipak]",TREASURE SEEKER,Quest for the Secrets Beyond Time,CD,(Lim. 100) [Digipak]
"[SOLD OUT] KËKHT ARÄKH ""Pale Swordsman"" cassette tape [Felvum]",,,,
"[SOLD OUT] NOCTURNAL EFFIGY ""Unveiled Dark Majesty"" vinyl LP (w/ 2 inserts, bonus track)",Nocturnal Effigy,Unveiled Dark Majesty,Vinyl,"(w/ 2 inserts, bonus track)"
[SOLD OUT] FREE AS DEAD ‎(Original Film Soundtrack) by Romain Perrot & Andy Bolus Cassette Tape (Lim. 100),,,,
"[SOLD OUT] PAYSAGE D'HIVER ""Winterkälte"" CD Digibook",PAYSAGE D'HIVER,Winterkälte,CD,
"[SOLD OUT] OUT OF SEASON ""Spoony Bard"" 4 inch stickers (set of 2)",,,,
"[SOLD OUT] EMYN MUIL ""Elenion Ancalima"" Cassette Tape",,,,
"[SOLD OUT] WHOREDOM RIFE ""Winds Of Wrath"" CD (digipak)",Whoredom Rife,Winds Of Wrath,CD,(digipak)
"[SOLD OUT] BURIAL MOON ""Burial Moon"" Vinyl LP (lim.100)",Burial Moon,Burial Moon,Vinyl,(lim.100)
"SEVEN BLACK BOOKS ""The Sorcerer's Path"" Cassette Tape",,,,
[SOLD OUT] OUT OF SEASON Purple w/ Black Logo Tote Bag,,,,
"[SOLD OUT] DEPARTURE CHANDELIER ""The Black Crest Of Death, The Gold Wreath Of War"" vinyl LP (w/insert + poster)",Departure Chandelier,"The Black Crest of Death, the Gold Wreath of War",Vinyl,(w/insert + poster)
[SOLD OUT] Dungeon Synth Trading Cards Series I Wax Pack (Set of 10),,,,
SEQUESTERED KEEP / NEVERLUR split CD (lim.300),,,,
"[SOLD OUT] MORTIIS ""The Song of a Long Forgotten Ghost"" Cassette Tape",,,,
"KALAMEET ""Melodies from the Dragon's Lair"" Cassette Tape",,,,
"[SOLD OUT] MORKETSVIND ""Wandering To Nether World"" CD",Morketsvind,Wandering To Nether World,CD,
"SCEPTRE OF THE FADING DAWN ""Recollections..."" Vinyl LP (lim.300 w/insert)",Sceptre Of The Fading Dawn,Recollections...,Vinyl,(lim.300 w/insert)
"[SOLD OUT] ERANG ""The Five Seasons Pentalogy"" 5x Cassette Tape Set (lim.150 w/slipcase, poster, insert)",,,,
