description,artist,album,format,extra
"BLOODY KEEP ""Rats of Black Death"" vinyl LP (4 color options, 180g) *SHIPPING BY END JULY*",BLOODY KEEP,Rats of Black Death,Vinyl,
"BLOODY KEEP ""真の宗教の亡霊"" vinyl LP (3 color options, 180g) *SHIPPING BY END JULY*",BLOODY KEEP,真の宗教の亡霊,Vinyl,
"BLOODY KEEP ""Bloody Horror / Cup Of Blood"" vinyl LP (2 color options, 180g) *SHIPPING BY END JULY*",BLOODY KEEP,Bloody Horror / Cup Of Blood,Vinyl,
"NORDENS SJEL ""De som kommer fra de ni verdener"" CD",NORDENS SJEL,De som kommer fra de ni verdener,CD,
"THRONE OF KNOWLEDGE ""The Divine Paradox"" CD (lim.50)",THRONE OF KNOWLEDGE,The Divine Paradox,CD,(lim.50)
"ERDENKRAFT ""Seelen des Waldes"" CD (digipak, lim.100)",ERDENKRAFT,Seelen des Waldes,CD,"(digipak, lim.100)"
"CIRITH UNGOL ""Frost and Fire"" deluxe vinyl 2xLP (color, booklet, Gatefold, giant poster)",Cirith Ungol,Frost and Fire,Vinyl,"(color, booklet, Gatefold, giant poster)"
"MURGRIND ""How it All Began Vol.1"" 2xCD (A5 digipak, lim.100)",Murgrind,How it All Began Vol.1,CD,"(A5 digipak, lim.100)"
"HARYON ""Memories of Arda 2"" CD",Haryon,Memories of Arda 2,CD,
"DRAPED IN SHADOWS ""...And in the Autumn Night the Black Castle Rose 3"" CD (lim.100)",DRAPED IN SHADOWS,...And in the Autumn Night the Black Castle Rose 3,CD,(lim.100)
"FOGWEAVER ""Magelight"" vinyl LP (2 color options, lim.500 w/ art print)",Fogweaver,Magelight,Vinyl,"(2 color options, lim.500 w/ art print)"
"FOGWEAVER ""Vedurnan"" vinyl LP (2 color options, lim.500 w/ art print)",Fogweaver,Vedurnan,Vinyl,"(2 color options, lim.500 w/ art print)"
"ELRIC ""The Eternal Champion"" vinyl LP (3 color options, w/poster)",ELRIC,The Eternal Champion,Vinyl,"(3 color options, w/poster)"
"ENSLAVED ""Mardraum - Beyond the Within"" vinyl LP (color, lim.600)",Enslaved,Mardraum - Beyond the Within,Vinyl,"(color, lim.600)"
"GRIM REAPER ""See You In Hell"" vinyl LP (color)",GRIM REAPER,See You In Hell,Vinyl,(color)
"LORD BELIAL ""Enter the Moonlight Gate"" vinyl LP (color, gatefold, lim.300)",Lord Belial,Enter The Moonlight Gate,Vinyl,"(color, gatefold, lim.300)"
"WYTCH HAZEL ""Prelude"" vinyl LP (color)",WYTCH HAZEL,Prelude,Vinyl,(color)
"EVILFEAST ""Isenheimen"" vinyl LP (w/ insert)",Evilfeast,Isenheimen,Vinyl,(w/ insert)
"SAMAEL ""Blood Ritual"" vinyl LP (color, lim.500)",Samael,Blood Ritual,Vinyl,"(color, lim.500)"
"BELIAL ""Wisdom of Darkness"" vinyl LP (color, lim.300)",Belial,Wisdom of Darkness,Vinyl,"(color, lim.300)"
"MANILLA ROAD ""Open the Gates"" vinyl LP (color, lim.250)",Manilla Road,Open the Gates,Vinyl,"(color, lim.250)"
"UNLEASHED ""Where No Life Dwells"" vinyl LP (clear)",Unleashed,Where No Life Dwells,Vinyl,(clear)
"[SOLD OUT] CIRITH UNGOL ""King of the Dead"" vinyl LP (giant poster, booklet)",Cirith Ungol,King of the Dead,Vinyl,"(giant poster, booklet)"
"ARMORED SAINT ""March of the Saint"" vinyl LP (color, lim.300)",ARMORED SAINT,March of the Saint,Vinyl,"(color, lim.300)"
"DEMONAZ ""March of the Norse"" vinyl LP (color, lim.800)",Demonaz,March of the Norse,Vinyl,"(color, lim.800)"
"LIEGE LORD ""Burn To My Touch"" vinyl LP (color, lim.500)",LIEGE LORD,Burn To My Touch,Vinyl,"(color, lim.500)"
"WYTCH HAZEL ""III: Pentecost SPIRIT and FLAME"" vinyl LP (color)",WYTCH HAZEL,III: Pentecost SPIRIT and FLAME,Vinyl,(color)
"[SOLD OUT] WINDIR ""Likferd"" vinyl 2xLP (clear, lim.400)",Windir,Likferd,Vinyl,"(clear, lim.400)"
"BOLT THROWER ""Honour, Valour, Pride"" vinyl LP (color, lim.1100)",Bolt Thrower,"Honour, Valour, Pride",Vinyl,"(color, lim.1100)"
"MANILLA ROAD ""Spiral Castle"" vinyl LP (color, lim.150)",Manilla Road,Spiral Castle,Vinyl,"(color, lim.150)"
"GRAVE ""Endless Procession of Souls"" vinyl LP (gatefold, 2 color options)",Grave,Endless Procession of Souls,Vinyl,"(gatefold, 2 color options)"
"BOLT THROWER ""Live War"" vinyl LP",Bolt Thrower,Live War,Vinyl,
"MANILLA ROAD ""The Courts of Chaos"" vinyl LP (clear)",Manilla Road,The Courts Of Chaos,Vinyl,(clear)
"SUMMONING ""Lugburz"" vinyl 2xLP (Double LP Gatefold)",SUMMONING,Lugburz,Vinyl,(Double LP Gatefold)
"V/A SOMEWHERE BETWEEN: ""Mutant Pop, Electronic Minimalism & Shadow Sounds Of Japan 1980-1988"" vinyl 2xLP (clear)",V/A SOMEWHERE BETWEEN:,"Mutant Pop, Electronic Minimalism & Shadow Sounds Of Japan 1980-1988",Vinyl,(clear)
"GOBLIN ""Suspiria"" OST vinyl LP (gatefold, color)",GOBLIN,Suspiria,Vinyl,"(gatefold, color)"
"SOLANUM ""Spectral Poetry"" CD (digipak)",SOLANUM,Spectral Poetry,CD,(digipak)
"SOLANUM ""Spectral Poetry"" vinyl LP (color)",SOLANUM,Spectral Poetry,Vinyl,(color)
"SOLANUM ""Spheres of Time"" vinyl LP (color)",SOLANUM,Spheres of Time,Vinyl,(color)
"GOTHMOG ""Medieval Journeys"" vinyl LP (color)",Gothmog,Medieval Journeys,Vinyl,(color)
"DEPRESSIVE SILENCE ""V: Medieval Demons MMXIX"" vinyl LP (color)",Depressive Silence,V: Medieval Demons MMXIX,Vinyl,(color)
"DEPRESSIVE SILENCE ""IV: Final EP / A Spell Enraged"" vinyl LP (color)",Depressive Silence,IV: Final EP / A Spell Enraged,Vinyl,(color)
"DEPRESSIVE SILENCE ""III: Mourning"" vinyl LP (color)",Depressive Silence,III: Mourning,Vinyl,(color)
"SOLANUM ""Spheres of Time"" CD (digipak)",SOLANUM,Spheres of Time,CD,(digipak)
"LUNAR SPELLS ""Sacraments of Necromantical Empires"" CD (digipak)",Lunar Spells,Sacraments of Necromantical Empires,CD,(digipak)
"GOTHMOG ""Medieval Journeys"" CD (digipak)",Gothmog,Medieval Journeys,CD,(digipak)
"ELDAMAR ""Lost Songs from the Ancient Land"" CD (digipak)",Eldamar,Lost Songs from the Ancient Land,CD,(digipak)
"DEPRESSIVE SILENCE ""V: Medieval Demons MMXIX"" CD (digipak)",Depressive Silence,V: Medieval Demons MMXIX,CD,(digipak)
"DEPRESSIVE SILENCE ""IV: Final EP / A Spell Enraged"" CD (digipak)",Depressive Silence,IV: Final EP / A Spell Enraged,CD,(digipak)
"DEPRESSIVE SILENCE ""III: Mourning"" CD (digipak)",Depressive Silence,III: Mourning,CD,(digipak)
"BELORE ""Eastern Tales"" CD (digipak)",Belore,Eastern Tales,CD,(digipak)
