description,artist,album,format,extra
Oppressive Descent - Sulfuric Wrath - Vinyl,Oppressive Descent,Sulfuric Wrath,Vinyl,
Trembling Void / Nightgaunt - Terrifying Vistas of Reality - Vinyl,Trembling Void / Nightgaunt,Terrifying Vistas of Reality,Vinyl,
Lore - Altars Of The Precipice Possession - Vinyl,Lore,Altars Of The Precipice Possession,Vinyl,
Wolftower - Throne of Nightfall's Wrath - Vinyl,Wolftower,Throne of Nightfall's Wrath,Vinyl,
The True Werwolf / Commander Agares - Split - Vinyl,The True Werwolf / Commander Agares,Split,Vinyl,
Nightgaunt - Visitant - Vinyl,Nightgaunt,Visitant,Vinyl,
Funeral Fullmoon / Nocturnal Prayer - Disciples of the Moonlight Worship - Vinyl,Funeral Fullmoon / Nocturnal Prayer,Disciples of the Moonlight Worship,Vinyl,
Sanctum Sathanas - Into the Eternal Satanic Damnation - Vinyl,Sanctum Sathanas,Into the Eternal Satanic Damnation,Vinyl,
Pa Vesh En - Catacombs - Vinyl,Pa Vesh En,Catacombs,Vinyl,
Gryftigaen - Wurmwaldgaistoz - Vinyl,Gryftigaen,Wurmwaldgaistoz,Vinyl,
Vampirska / Glemt - By Sanguinarian Will... - Vinyl,Vampirska / Glemt,By Sanguinarian Will...,Vinyl,
Immortal - Pure Holocaust - Vinyl,Immortal,Pure Holocaust,Vinyl,
Marduk - Opus Nocturne - Vinyl,Marduk,Opus Nocturne,Vinyl,
"Morguiliath - Occult Sins, New Unholy Dimension - Vinyl",Morguiliath,"Occult Sins, New Unholy Dimension",Vinyl,
Sorcier Des Glaces - Snowland MMXII - Vinyl,Sorcier Des Glaces,Snowland MMXII,Vinyl,
Veter Daemonaz - Muse Of The Damned - Муза проклятых - Vinyl,Veter Daemonaz,Muse Of The Damned - Муза проклятых,Vinyl,
Akrotheism - The Law Of Seven Deaths - Vinyl,Akrotheism,The Law Of Seven Deaths,Vinyl,
Funeral Winds - Stigmata Mali - Vinyl,Funeral Winds,Stigmata Mali,Vinyl,
