description,artist,album,format,extra
Skógr - In Obscure Darkness - CD,Skógr,In Obscure Darkness,CD,
Malepeste - Deliquiscent Exaltation - CD,Malepeste,Deliquiscent Exaltation,CD,
Pestreiter - Todeswiehe - CD,Pestreiter,Todeswiehe,CD,
"Sørgelig - We, The Oblvious - CD",Sørgelig,"We, The Oblvious",CD,
Wampyric Rites / Satanic Count / Winterstorm / Demonic War - Night of Consecration - CD,Wampyric Rites / Satanic Count / Winterstorm / Demonic War,Night of Consecration,CD,
Ancestral Shadows - Preserving All Darkness in This World - CD,Ancestral Shadows,Preserving All Darkness in This World,CD,
Grógaldr - Grógaldr - CD,Grógaldr,Grógaldr,CD,
Crimson Moon - Oneironaut - Tape,Crimson Moon,Oneironaut,Cassette,
Gorsedd FM - Parhad - Tape,Gorsedd FM,Parhad,Cassette,
Vamlúrnia - Bloodmoon Sacrifices - Tape,Vamlúrnia,Bloodmoon Sacrifices,Cassette,
Vel'Har - Letania 1 - Tape,Vel'Har,Letania 1,Cassette,
Atrax Morgue - A Tribute To Marco Borbelli - Tape,Atrax Morgue,A Tribute To Marco Borbelli,Cassette,
Mons Veneris - Sibilando Com O Mestre Negro - Tape,Mons Veneris,Sibilando com o Mestre Negro,Cassette,
Pestis Cultus - S/T - Tape,Pestis Cultus,S/T,Cassette,
Time Lurker / Cepheide - Split - Tape,Time Lurker / Cepheide,Split,Cassette,
Arazubak - The Haunted Spawn of Torment - Tape,Arazubak,The Haunted Spawn of Torment,Cassette,
Gramarye - Necroprophecy - Tape,Gramarye,Necroprophecy,Cassette,
Irae - Lurking In The Depths - Tape,Irae,Lurking in the Depths,Cassette,
Vetus Supulcrum - A Shroud Of Desolation - Tape,Vetus Supulcrum,A Shroud Of Desolation,Cassette,
VVitchnight - Old Perverted Nightmare - Tape,VVitchnight,Old Perverted Nightmare,Cassette,
Coffinweaver - Sombre Passage - Tape,Coffinweaver,Sombre Passage,Cassette,
Styga - Tomos I - Tape,Styga,Tomos I,Cassette,
VVitchnight - Demo II - Tape,VVitchnight,Demo II,Cassette,
Velo Misere - Genealogía Del Eterno Desasosiego - Tape,Velo Misere,Genealogía Del Eterno Desasosiego,Cassette,
Condescendance - Chao Wampirii - Tape,Condescendance,Chao Wampirii,Cassette,
Concordia Diaboli - Concordia Diaboli - Tape,Concordia Diaboli,Concordia Diaboli,Cassette,
Valais - Valais - Tape,Valais,Valais,Cassette,
Irae - Lurking In The Depths - Vinyl,Irae,Lurking in the Depths,Vinyl,
Glemt - Eclipsing Through The Womb Of Twilight And Dementia - Vinyl,Glemt,Eclipsing Through The Womb Of Twilight And Dementia,Vinyl,
Dark Funeral - The Secrets Of The Black Arts - Vinyl,Dark Funeral,The Secrets Of The Black Arts,Vinyl,
Meyhnach - Miseria de Profundis - Vinyl,Meyhnach,Miseria de Profundis,Vinyl,
Wampyric Rites / Moloch - The Serpent Cult of Darkness - Vinyl,Wampyric Rites / Moloch,The Serpent Cult of Darkness,Vinyl,
Trembling Void / Nightgaunt - Terrifying Vistas of Reality - Vinyl,Trembling Void / Nightgaunt,Terrifying Vistas of Reality,Vinyl,
Gryftigaen - Wurmwaldgaistoz - Vinyl,Gryftigaen,Wurmwaldgaistoz,Vinyl,
Au-Dessus - Au-Dessus - Vinyl,Au-Dessus,Au-Dessus,Vinyl,
Black Funeral - Scourge of Lamashtu - Vinyl,Black Funeral,Scourge of Lamashtu,Vinyl,
Hate Forest - Sorrow - Vinyl,Hate Forest,Sorrow,Vinyl,
Numen - Numen - Vinyl,Numen,Numen,Vinyl,
Bait - Revelation of the Pure - Vinyl,Bait,Revelation of the Pure,Vinyl,
Nightgaunt - Visitant - Vinyl,Nightgaunt,Visitant,Vinyl,
Mons Veneris / Broken Spirit - Voices: Herald to the Master - Vinyl,Mons Veneris / Broken Spirit,Voices: Herald to the Master,Vinyl,
Mur - Truth - Vinyl,Mur,Truth,Vinyl,
Mütiilation - The Lost Tapes - Vinyl,Mütiilation,The Lost Tapes,Vinyl,
Hyrgal - Hyrgal - Vinyl,Hyrgal,Hyrgal,Vinyl,
Immortal - Pure Holocaust - Vinyl,Immortal,Pure Holocaust,Vinyl,
Svartrit - I - Vinyl,Svartrit,I,Vinyl,
Black Funeral - Moon of Characith - Vinyl,Black Funeral,Moon of Characith,Vinyl,
Crucifixion Bell - Eternal Grip Of The Nocturnal Empire - Vinyl,Crucifixion Bell,Eternal Grip of the Nocturnal Empire,Vinyl,
Immortal - Diabolical Fullmoon Mysticism - Vinyl,Immortal,Diabolical Fullmoon Mysticism,Vinyl,
Nidernes - Darkness Cenotaph - Vinyl,Nidernes,Darkness Cenotaph,Vinyl,
